ATC;NT;NAZEV;NAZEV_EN
A;N;TR¡VICÕ TRAKT A METABOLISMUS;ALIMENTARY TRACT AND METABOLISM
A01;N;STOMATOLOGICK… PÿÕPRAVKY;STOMATOLOGICAL PREPARATIONS
A01A;N;STOMATOLOGICK… PÿÕPRAVKY;STOMATOLOGICAL PREPARATIONS
A01AA;N;L¡TKY K PREVENCI ZUBNÕHO KAZU;CARIES PROPHYLACTIC AGENTS
A01AA01;N;FLUORID SODN›;SODIUM FLUORIDE
A01AA02;N;MONOFLUOROFOSFORE»NAN SODN›;SODIUM MONOFLUOROPHOSPHATE
A01AA03;N;OLAFLUR;OLAFLUR
A01AA04;N;FLUORID CÕNAT›;STANNOUS FLUORIDE
A01AA30;N;L¡TKY K PREVENCI ZUBNÕHO KAZU, KOMBINACE;COMBINATIONS
A01AA51;N;FLUORID SODN›, KOMBINACE;SODIUM FLUORIDE, COMBINATIONS
A01AB;N;ANTIINFEKTIVA A ANTISEPTIKA PRO LOK¡LNÕ L…»BU V DUTINÃ ⁄STNÕ;ANTIINFECTIVES AND ANTISEPTICS FOR LOCAL ORAL TREATMENT
A01AB02;N;PEROXID VODÕKU;HYDROGEN PEROXIDE
A01AB03;N;CHLORHEXIDIN;CHLORHEXIDINE
A01AB04;N;AMFOTERICIN B;AMPHOTERICIN B
A01AB05;N;POLYNOXYLIN;POLYNOXYLIN
A01AB06;N;DOMIFEN;DOMIPHEN
A01AB07;N;OXYCHINOLIN;OXYQUINOLINE
A01AB08;N;NEOMYCIN;NEOMYCIN
A01AB09;N;MIKONAZOL;MICONAZOLE
A01AB10;N;NATAMYCIN;NATAMYCIN
A01AB11;N;RŸZN¡ JIN¡ ANTIINFEKTIVA A ANTISEPTIKA;VARIOUS
A01AB12;N;HEXETIDIN;HEXETIDINE
A01AB13;N;TETRACYKLIN;TETRACYCLINE
A01AB14;N;BENZOXONIUM-CHLORID;BENZOXONIUM CHLORIDE
A01AB15;N;TIBEZONIUM-JODID;TIBEZONIUM IODIDE
A01AB16;N;MEPARTRICIN;MEPARTRICIN
A01AB17;N;METRONIDAZOL;METRONIDAZOLE
A01AB18;N;KLOTRIMAZOL;CLOTRIMAZOLE
A01AB19;N;PEROXOBORITAN SODN›;SODIUM PERBORATE
A01AB21;N;CHLORTETRACYKLIN;CHLORTETRACYCLINE
A01AB22;N;DOXYCYKLIN;DOXYCYCLINE
A01AB23;N;MINOCYKLIN;MINOCYCLINE
A01AB24;N;OKTENIDIN;OCTENIDINE
A01AB25;N;OXYTETRACYKLIN;OXYTETRACYCLINE
A01AB53;N;CHLORHEXIDIN A CETYLPYRIDINIUM;CHLORHEXIDINE AND CETYLPYRIDINIUM
A01AC;N;KORTIKOSTEROIDY PRO LOK¡LNÕ L…»BU V DUTINÃ ⁄STNÕ;CORTICOSTEROIDS FOR LOCAL ORAL TREATMENT
A01AC01;N;TRIAMCINOLON;TRIAMCINOLONE
A01AC02;N;DEXAMETHASON;DEXAMETHASONE
A01AC03;N;HYDROKORTISON;HYDROCORTISONE
A01AC04;N;PREDNISOLON;PREDNISOLONE
A01AC54;N;PREDNISOLON, KOMBINACE;PREDNISOLONE, COMBINATIONS
A01AD;N;JIN¡ L…»IVA PRO LOK¡LNÕ L…»BU V DUTINÃ ⁄STNÕ;OTHER AGENTS FOR LOCAL ORAL TREATMENT
A01AD01;N;EPINEFRIN;EPINEPHRINE
A01AD02;N;BENZYDAMIN;BENZYDAMINE
A01AD05;N;KYSELINA ACETYLSALICYLOV¡;ACETYLSALICYLIC ACID
A01AD06;N;ADRENALON;ADRENALONE
A01AD07;N;AMLEXANOX;AMLEXANOX
A01AD08;N;BEKAPLERMIN;BECAPLERMIN
A01AD11;N;RŸZN¡ JIN¡ L…»IVA PRO LOK¡LNÕ L…»BU V DUTINÃ ⁄STNÕ;VARIOUS
A02;N;L…»IVA K TERAPII ONEMOCNÃNÕ SPOJEN›CH S PORUCHOU ACIDITY;DRUGS FOR ACID RELATED DISORDERS
A02A;N;ANTACIDA;ANTACIDS
A02AA;N;SLOU»ENINY HOÿ»ÕKU;MAGNESIUM COMPOUNDS
A02AA01;N;UHLI»ITAN HOÿE»NAT›;MAGNESIUM CARBONATE
A02AA02;N;OXID HOÿE»NAT›;MAGNESIUM OXIDE
A02AA03;N;PEROXID HOÿE»NAT›;MAGNESIUM PEROXIDE
A02AA04;N;HYDROXID HOÿE»NAT›;MAGNESIUM HYDROXIDE
A02AA05;N;KÿEMI»ITAN HOÿE»NAT›;MAGNESIUM SILICATE
A02AA10;N;SLOU»ENINY HOÿ»ÕKU, KOMBINACE;COMBINATIONS
A02AB;N;SLOU»ENINY HLINÕKU;ALUMINIUM COMPOUNDS
A02AB01;N;HYDROXID HLINIT›;ALUMINIUM HYDROXIDE
A02AB02;N;ALGELDR¡T;ALGELDRATE
A02AB03;N;FOSFORE»NAN HLINIT›;ALUMINIUM PHOSPHATE
A02AB04;N;UHLI»ITAN DIHYDROXYHLINITO-SODN›;DIHYDROXIALUMINI SODIUM CARBONATE
A02AB05;N;ALUMINIUM-ACETYLACETON¡T;ALUMINIUM ACETOACETATE
A02AB06;N;ALOGLUTAMOL;ALOGLUTAMOL
A02AB07;N;DIHYDROXYALUMINIUM-GLYCIN¡T;ALUMINIUM GLYCINATE
A02AB10;N;SLOU»ENINY HLINÕKU, KOMBINACE;COMBINATIONS
A02AC;N;SLOU»ENINY V¡PNÕKU;CALCIUM COMPOUNDS
A02AC01;N;UHLI»ITAN V¡PENAT›;CALCIUM CARBONATE
A02AC02;N;KÿEMI»ITAN V¡PENAT›;CALCIUM SILICATE
A02AC10;N;SLOU»ENINY V¡PNÕKU, KOMBINACE;COMBINATIONS
A02AD;N;KOMBINACE A KOMPLEXY SLOU»ENIN HLINÕKU, V¡PNÕKU A HOÿ»ÕKU;COMBINATIONS AND COMPLEXES OF ALUMINIUM, CALCIUM AND MAGNESIUM COMPOUNDS
A02AD01;N;KOMBINACE BÃéN›CH SOLÕ;ORDINARY SALT COMBINATIONS
A02AD02;N;MAGALDR¡T;MAGALDRATE
A02AD03;N;ALMAG¡T;ALMAGATE
A02AD04;N;HYDROTALCIT;HYDROTALCITE
A02AD05;N;ALMASIL¡T;ALMASILATE
A02AF;N;ANTACIDA S ANTIFLATULENCII;ANTACIDS WITH ANTIFLATULENTS
A02AF01;N;MAGALDR¡T A ANTIFLATULENCIA;MAGALDRATE AND ANTIFLATULENTS
A02AF02;N;KOMBINACE BÃéN›CH SOLÕ S ANTIFLATULENCII;ORDINARY SALT COMBINATIONS AND ANTIFLATULENTS
A02AG;N;ANTACIDA SE SPAZMOLYTIKY;ANTACIDS WITH ANTISPASMODICS
A02AH;N;ANTACIDA S UHLI»ITANEM SODN›M;ANTACIDS WITH SODIUM BICARBONATE
A02AX;N;ANTACIDA, JIN… KOMBINACE;ANTACIDS, OTHER COMBINATIONS
A02B;N;L…»IVA K TERAPII PEPTICK…HO VÿEDU A REFLUXNÕ CHOROBY JÕCNU;DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
A02BA;N;ANTAGONIST… H2-RECEPTORŸ;H2-RECEPTOR ANTAGONISTS
A02BA01;N;CIMETIDIN;CIMETIDINE
A02BA02;N;RANITIDIN;RANITIDINE
A02BA03;N;FAMOTIDIN;FAMOTIDINE
A02BA04;N;NIZATIDIN;NIZATIDINE
A02BA05;N;NIPEROTIDIN;NIPEROTIDINE
A02BA06;N;ROXATIDIN;ROXATIDINE
A02BA07;N;RANITIDIN-BISMUT-CITR¡T;RANITIDINE BISMUTH CITRATE
A02BA08;N;LAFUTIDIN;LAFUTIDINE
A02BA51;N;CIMETIDIN, KOMBINACE;CIMETIDINE, COMBINATIONS
A02BA53;N;FAMOTIDIN, KOMBINACE;FAMOTIDINE, COMBINATIONS
A02BB;N;PROSTAGLANDINY;PROSTAGLANDINS
A02BB01;N;MISOPROSTOL;MISOPROSTOL
A02BB02;N;ENPROSTIL;ENPROSTIL
A02BC;N;INHIBITORY PROTONOV… PUMPY;PROTON PUMP INHIBITORS
A02BC01;N;OMEPRAZOL;OMEPRAZOLE
A02BC02;N;PANTOPRAZOL;PANTOPRAZOLE
A02BC03;N;LANSOPRAZOL;LANSOPRAZOLE
A02BC04;N;RABEPRAZOL;RABEPRAZOLE
A02BC05;N;ESOMEPRAZOL;ESOMEPRAZOLE
A02BC06;N;DEXLANSOPRAZOL;DEXLANSOPRAZOLE
A02BC07;N;DEXRABEPRAZOL;DEXRABEPRAZOLE
A02BC08;N;VONOPRAZAN;VONOPRAZAN
A02BC09;N;TEGOPRAZAN;TEGOPRAZAN
A02BC10;N;FEXUPRAZAN;FEXUPRAZAN
A02BC11;N;ILAPRAZOL;ILAPRAZOLE
A02BC12;N;ZASTAPRAZAN;ZASTAPRAZAN
A02BC51;N;OMEPRAZOL, KOMBINACE;OMEPRAZOLE, COMBINATIONS
A02BC53;N;LANSOPRAZOL, KOMBINACE;LANSOPRAZOLE, COMBINATIONS
A02BC54;N;RABEPRAZOL, KOMBINACE;RABEPRAZOLE, COMBINATIONS
A02BD;N;KOMBINACE K ERADIKACI HELICOBACTER PYLORI;COMBINATIONS FOR ERADICATION OF HELICOBACTER PYLORI
A02BD01;N;OMEPRAZOL, AMOXICILIN A METRONIDAZOL;OMEPRAZOLE, AMOXICILLIN AND METRONIDAZOLE
A02BD02;N;LANSOPRAZOL, TETRACYKLIN A METRONIDAZOL;LANSOPRAZOLE, TETRACYCLINE AND METRONIDAZOLE
A02BD03;N;LANSOPRAZOL, AMOXICILIN A METRONIDAZOL;LANSOPRAZOLE, AMOXICILLIN AND METRONIDAZOLE
A02BD04;N;PANTOPRAZOL, AMOXICILIN A KLARITHROMYCIN;PANTOPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN
A02BD05;N;OMEPRAZOL, AMOXICILIN A KLARITHROMYCIN;OMEPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN
A02BD06;N;ESOMEPRAZOL, AMOXICILIN A KLARITHROMYCIN;ESOMEPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN
A02BD07;N;LANSOPRAZOL, AMOXICILIN A KLARITHROMYCIN;LANSOPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN
