CESTA;NAZEV;NAZEV_EN;NAZEV_LAT;KOD_EDQM
AUR;Ušní podání;Auricular use;Usus auricularis;20001000
AUR/OPH;Ušní/oèní podání;Auricular/ocular use;Usus auricularis/ophthalmicus;
BUC;Bukální podání;Buccal use;Usus buccalis;20002500
BUC/IMS/IVN/NAS;Bukální/intramuskulární/intravenózní/nosní podání;Buccal/intramuscular/intravenous/nasal use;Usus buccalis/intramuscularis/intravenosus/nasalis;
BUC/POR;Bukální/perorální podání;Buccal/oral use;Usus buccalis/peroralis;
CDP;Kardioplegické podání;Cardioplegic use;Usus cardioplegicus;20089000
DNT;Dentální podání;Dental use;Usus dentalis;20004000
DRM;Kožní podání;Cutaneous use;Usus cutaneus;20003000
DRM/INH;Kožní/inhalaèní podání;Cutaneous/inhalation use;Usus cutaneus/inhalatorius;
EAC;Mimotìlní podání;Extracorporeal use;Usus extracorporealis;20011500
EAM;Extraamniotické podání;Extraamniotic use;Usus extraamnioticus;20011000
EAP;Extrapleurální podání;Extrapleural use;Usus extrapleuralis;20087000
ENC;Endocervikální podání;Endocervical use;Usus endocervicalis;20006000
ENS;Endosinusové podání;Endosinusial use;Usus endosinusialis;20007000
EPD;Epidurální podání;Epidural use;Usus epiduralis;20009000
EPD/IAT/IFL;Epidurální/intraartikulární podání/infiltrace;Epidural/intraarticular use/infiltration;Usus epiduralis/intraarticularis/infiltratio;
EPD/IAT/PNR/SDR;Epidurální/intraartikulární/perineurální/subkutánní podání;Epidural/intraarticular/perineural/subcutaneous use;Usus epiduralis/intraarticularis/perineuralis/subcutaneus;
EPD/IMS/IVN/SDR;Epidurální/intramuskulární/intravenózní/subkutánní;Epidural/intramuscular/intravenous/subcutaneous use;Usus epiduralis/intramuscularis/intravenosus/subcutaneus;
EPD/ITH/IFL;Epidurální/intratekální/infiltrace;Epidural/intrathecal/infiltration;Usus epiduralis/intrathecalis/infiltratio;
EPD/ITH/IVN/SDR;Epidurální/intratekální/intravenózní/subkutánní podání;Epidural/intrathecal/intravenous/subcutaneous use;Usus epiduralis/intrathecalis/intravenosus/subcutaneus;
EPD/ITH/PNR/IFL;Epidurální/intratekální/perineurální podání/infiltrace;Epidural/intrathecal/perineural use/infiltration;Usus epiduralis/intrathecalis/perineuralis/infiltratio;
EPD/PNR;Epidurální/perineurální podání;Epidural/perineural use;Usus epiduralis/perineuralis;
EPL;Epilezionální podání;Epilesional use;Usus epilaesionalis;20010000
