KOD_LATKY;NAZEV_INN;NAZEV_EN;NAZEV;ZAV
1;ABSINTHII HERBA;WORMWOOD;PELY“KOV¡ NAç;
12;ACIDUM ACETYLSALICYLICUM;ACETYLSALICYLIC ACID;KYSELINA ACETYLSALICYLOV¡;
14;MILLEFOLII HERBA;YARROW;ÿEBÿÕ»KOV¡ NAç;
16;CHLOROPROCAINI HYDROCHLORIDUM;CHLOROPROCAINE HYDROCHLORIDE;CHLORPROKAIN-HYDROCHLORID;
17;ACONITI TINCTURA;ACONITE TINCTURE;OMÃJOV¡ TINKTURA;
19;ADENOSINUM;ADENOSINE;ADENOSIN;
22;GILTERITINIBI FUMARAS;GILTERITINIB FUMARATE;GILTERITINIB-FUMAR¡T;
27;ALANINUM;ALANINE;ALANIN;
30;ALGELDRATUM;ALGELDRATE;ALGELDR¡T;
31;NATRII ALGINAS;SODIUM ALGINATE;NATRIUM-ALGIN¡T;
35;ALLANTOINUM;ALLANTOIN;ALANTOIN;
37;SUNITINIBI CYCLAMAS;SUNITINIB CYCLAMATE;SUNITINIB CYKLAM¡T;
38;GOZETOTIDUM;GOZETOTIDE;GOZETOTID;
41;SITAGLIPTINI HYDROCHLORIDUM MONOHYDRICUM;SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE;MONOHYDR¡T SITAGLIPTIN-HYDROCHLORIDU;
43;ALUMINII HYDROXIDUM;ALUMINIUM HYDROXIDE;HYDROXID HLINIT›;
45;ALGELDRATI SUSPENSIO;ALGELDRATE SUSPENSION;SUSPENZE ALGELDR¡TU;
48;ALVERINI CITRAS;ALVERINE CITRATE;ALVERIN-CITR¡T;
55;GLYCINUM;GLYCINE;GLYCIN;
61;AMINOPHYLLINUM;AMINOPHYLLINE;AMINOFYLIN;
65;AMITRIPTYLINUM;AMITRIPTYLINE;AMITRIPTYLIN;
76;AMPHOTERICINUM B;AMPHOTERICIN B;AMFOTERICIN B;
77;AMPICILLINUM;AMPICILLIN;AMPICILIN;
78;AMPICILLINUM NATRICUM;AMPICILLIN SODIUM;SODN¡ SŸL AMPICILINU;
82;RELEBACTAMUM MONOHYDRICUM;RELEBACTAM MONOHYDRATE;MONOHYDR¡T RELEBAKTAMU;
83;AMYLMETACRESOLUM;AMYLMETACRESOL;AMYLMETAKRESOL;
87;ANGELICAE ARCHANGELICAE RADIX;ANGELICA ARCHANGELICA ROOT;KOÿEN ANDÃLIKY L…KAÿSK…;
90;ANTAZOLINI HYDROCHLORIDUM;ANTAZOLINE HYDROCHLORIDE;ANTAZOLIN-HYDROCHLORID;
93;APOMORPHINI HYDROCHLORIDUM HEMIHYDRICUM;APOMORPHINE HYDROCHLORIDE HEMIHYDRATE;HEMIHYDR¡T APOMORFIN-HYDROCHLORIDU;
95;ARACHIDIS OLEUM RAFFINATUM;ARACHIS OIL, REFINED;»IäTÃN› PODZEMNICOV› OLEJ;
96;ARGININUM;ARGININE;ARGININ;
99;ARNICAE TINCTURA;ARNICA TINCTURE;ARNIKOV¡ TINKTURA;
102;ACIDUM ASCORBICUM;ASCORBIC ACID;KYSELINA ASKORBOV¡;
103;ACIDUM ASPARTICUM;ASPARTIC ACID;KYSELINA ASPARAGOV¡;
110;ATROPINI SULFAS MONOHYDRICUS;ATROPINE SULFATE MONOHYDRATE;MONOHYDR¡T ATROPIN-SULF¡TU;
115;BACITRACINUM;BACITRACIN;BACITRACIN;
116;BACITRACINUM ZINCUM;BACITRACIN ZINC;ZINE»NAT› KOMPLEX BACITRACINU;
125;PLANTAGINIS EXTRACTUM SICCUM;RIBWORT DRY EXTRACT;SUCH› JITROCELOV› EXTRAKT;
129;FOSNETUPITANTI CHLORIDI HYDROCHLORIDUM;FOSNETUPITANT CHLORIDE HYDROCHLORIDE;FOSNETUPITANT-CHLORID-HYDROCHLORID;
138;BENFOTIAMINUM;BENFOTIAMINE;BENFOTIAMIN;
141;BENZALKONII CHLORIDUM;BENZALKONIUM CHLORIDE;BENZALKONIUM-CHLORID;
142;BENZATHINI BENZYLPENICILLINUM;BENZATHINE BENZYLPENICILLIN;BENZATHIN-BENZYLPENICILIN;
143;LACTOBACILLUS GASSERI;LACTOBACILLUS GASSERI;LACTOBACILLUS GASSERI;
149;BENZOYLIS PEROXIDUM;BENZOYL PEROXIDE;BENZOYL-PEROXID;
151;BENZYDAMINI HYDROCHLORIDUM;BENZYDAMINE HYDROCHLORIDE;BENZYDAMIN-HYDROCHLORID;
154;BENZOXONII CHLORIDUM;BENZOXONIUM CHLORIDE;BENZOXONIUM-CHLORID;
156;LAROTRECTINIBI SULFAS;LAROTRECTINIB SULFATE;LAROTREKTINIB-SULF¡T;
158;BENZYLPENICILLINUM KALICUM;BENZYLPENICILLIN POTASSIUM;DRASELN¡ SŸL BENZYLPENICILINU;
159;BENZYLPENICILLINUM NATRICUM;BENZYLPENICILLIN SODIUM;SODN¡ SŸL BENZYLPENICILINU;
162;BETAINUM;BETAINE;BETAIN;
164;BETAMETHASONUM;BETAMETHASONE;BETAMETHASON;
167;BETAMETHASONI VALERAS;BETAMETHASONE VALERATE;BETAMETHASON-VALER¡T;
170;BETULAE FOLIUM;BIRCH LEAF;BÿEZOV› LIST;
173;BIOTINUM;BIOTIN;BIOTIN;
174;BISACODYLUM;BISACODYL;BISAKODYL;
180;BISMUTHI SUBGALLAS;BISMUTH SUBGALLATE;Z¡SADIT› BISMUTUM(III)-GALL¡T;
185;NETARSUDILI MESILAS;NETARSUDIL MESILATE;NETARSUDIL-MESIL¡T;
186;OSILODROSTATI PHOSPHAS;OSILODROSTAT PHOSPHATE;OSILODROSTAT-FOSF¡T;
188;SIPONIMODUM ET ACIDUM FUMARICUM;SIPONIMOD FUMARIC ACID;SIPONIMOD S KYSELINOU FUMAROVOU;
189;ACIDUM BORICUM;BORIC ACID;KYSELINA BORIT¡;
190;SACCHAROMYCES BOULARDII CRYODESICCATUS;FREEZE-DRIED SACCHAROMYCES BOULARDII;LYOFILYZOVAN… SACCHAROMYCES BOULARDII;
194;BROMELAINA;BROMELAINS;BROMELAINY;
195;VIBRIO CHOLERAE O1 INABA CVD 103-HGR VIVUS ATTENUATUS;VIBRIO CHOLERAE  O1 INABA CVD 103-HGR LIVE ATTENUATED;éIV… OSLABEN… VIBRIO CHOLERAE O1 INABA CVD 103-HGR;
207;GIVOSIRANUM NATRICUM;GIVOSIRAN SODIUM;SODN¡ SŸL GIVOSIRANU;
208;BUPIVACAINUM;BUPIVACAINE;BUPIVAKAIN;
209;BUPIVACAINI HYDROCHLORIDUM;BUPIVACAINE HYDROCHLORIDE;BUPIVAKAIN-HYDROCHLORID;
216;CEFIDEROCOLI SULFAS TOSILAS HYDRICUS;CEFIDEROCOL SULFATE TOSILATE HYDRATE;HYDR¡T CEFIDEROKOL-SULF¡T-TOSIL¡TU;
221;OZANIMODI HYDROCHLORIDUM;OZANIMOD HYDROCHLORIDE;OZANIMOD-HYDROCHLORID;
223;COFFEINUM;CAFFEINE;KOFEIN;
224;FILGOTINIBI MALEAS;FILGOTINIB MALEATE;FILGOTINIB-MALEIN¡T;
226;COFFEINI CITRAS;CAFFEINE CITRATE;KOFEIN S KYSELINOU CITRONOVOU;
228;CALAMI RADIX;CALAMUS ROOT;PUäKVORCOV› KOÿEN;
231;CALCIUM;CALCIUM;V¡PNÕK;
234;CALCII CARBONAS;CALCIUM CARBONATE;UHLI»ITAN V¡PENAT›;
235;CALCII CHLORIDUM;CALCIUM CHLORIDE;CHLORID V¡PENAT›;
238;CALCII GLUCONAS MONOHYDRICUS;CALCIUM GLUCONATE MONOHYDRATE;MONOHYDR¡T KALCIUM-GLUKON¡TU;
242;SELUMETINIBI SULFAS;SELUMETINIB SULFATE;SELUMETINIB-SULF¡T;
244;CALCII LACTOPHOSPHAS;CALCIUM LACTOPHOSPHATE;V¡PENAT¡ SŸL LAKTOFOSF¡TU;
245;BILASTINUM MONOHYDRICUM;BILASTINE MONOHYDRATE;MONOHYDR¡T BILASTINU;
248;CAMPHORA;CAMPHOR;KAFR;
258;CINCHONINI HYDROCHLORIDUM;CINCHONINE HYDROCHLORIDE;CINCHONIN-HYDROCHLORID;
259;CINCHONIDINI HYDROCHLORIDUM;CINCHONIDINE HYDROCHLORIDE;CINCHONIDIN-HYDROCHLORID;
260;CINCHONINUM;CINCHONINE;CINCHONIN;
261;CARVI ETHEROLEUM;CARAWAY OIL;KMÕNOV¡ SILICE;
267;CINCHONIDINUM;CINCHONIDINE;CINCHONIDIN;
274;ODEVIXIBATUM SESQUIHYDRICUM;ODEVIXIBAT SESQUIHYDRATE;SESKVIHYDR¡T ODEVIXIB¡TU;
288;CETYLPYRIDINII CHLORIDUM;CETYLPYRIDINIUM CHLORIDE;CETYLPYRIDINIUM-CHLORID;
289;MATRICARIAE FLOS;MATRICARIA FLOWER;HEÿM¡NKOV› KVÃT;
291;CARBO ACTIVATUS;CHARCOAL, ACTIVATED;AKTIVNÕ UHLÕ;
297;CHLORAMPHENICOLUM;CHLORAMPHENICOL;CHLORAMFENIKOL;
302;CHLORDIAZEPOXIDUM;CHLORDIAZEPOXIDE;CHLORDIAZEPOXID;7
305;CHLORHEXIDINI DIGLUCONAS;CHLORHEXIDINE DIGLUCONATE;CHLORHEXIDIN-DIGLUKON¡T;
306;CHLORHEXIDINI DIHYDROCHLORIDUM;CHLORHEXIDINE DIHYDROCHLORIDE;CHLORHEXIDIN-DIHYDROCHLORID;
308;CHLORMADINONI ACETAS;CHLORMADINONE ACETATE;CHLORMADINON-ACET¡T;
313;CHLOROCRESOLUM;CHLOROCRESOL;CHLORKRESOL;
329;CHLORPHENAMINI MALEAS;CHLORPHENAMINE MALEATE;CHLORFENAMIN-MALEIN¡T;
333;CHLORPROTHIXENI HYDROCHLORIDUM;CHLORPROTHIXENE HYDROCHLORIDE;CHLORPROTHIXEN-HYDROCHLORID;
