KOD;NAZEV
H;Registrace homeopatika zjednodušenım postupem (èl. 14 smìrnice 2001/83/ES)
HL;Registrace homeopatika s indikací (èl. 16(1) smìrnice 2001/83/ES) - literární registrace (èl. 10a smìrnice 2001/83/ES)
HS;Registrace homeopatika s indikací (èl. 16(1) smìrnice 2001/83/ES) - samostatná registrace (èl. 8(3) smìrnice 2001/83/ES)
L;Literární registrace (èl. 10a smìrnice 2001/83/ES)
O;Generická registrace (èl. 10(1) smìrnice 2001/83/ES) - referenèní pøípravek registrovanı v ÈR
OA;Informovanı souhlas (èl. 10c smìrnice 200183/ES)
OB;Registrace podobného biologického pøípravku (èl. 10(4) smìrnice 2001/83/ES) - referenèní pøípravek registrovanı v ÈR
OBC;Registrace podobného biologického pøípravku (èl. 10(4) smìrnice 2001/83/ES) - referenèní pøípravek registrovanı centralizovanì
OBE;Registrace podobného biologického pøípravku (èl. 10(4) smìrnice 2001/83/ES) - referenèní pøípravek registrovanı v EU
OC;Generická registrace (èl. 10(1) smìrnice 2001/83/ES) - referenèní pøípravek registrovanı centralizovanì
OE;Generická registrace (èl. 10(1) smìrnice 2001/83/ES) - referenèní pøípravek registrovanı v EU
OK;Fixní kombinace (èl. 10b smìrnice 2001/83/ES)
OW;Hybridní registrace (èl. 10(3) smìrnice 2001/83/ES) - referenèní pøípravek registrovanı v ÈR
OWC;Hybridní registrace (èl. 10(3) smìrnice 2001/83/ES)  - referenèní pøípravek registrovanı centralizovanì
OWE;Hybridní registrace (èl. 10(3) smìrnice 2001/83/ES)  - referenèní pøípravek registrovanı v EU
S;Samostatná registrace (èl. 8(3) smìrnice 2001/83/ES)
TR;Registrace tradièního rostlinného léèivého pøípravku (èl. 16a smìrnice 2001/83/ES)
XX;V pøípadì dotazu na právní základ registrace se prosím obrate na registrace.LP@sukl.cz
