KOD_LATKY;KOD_SOLI
19;20
19;1494
19;2001
19;2002
19;2024
19;14274
26;3151
30;45
32;31
32;14259
32;14659
38;2711
38;22638
43;17838
54;492
54;14473
55;496
55;5521
55;10678
55;13236
55;15924
58;1309
58;9704
60;1666
60;6739
61;13233
64;62
64;63
64;12209
65;3301
71;14057
72;73
74;75
74;4879
74;4881
74;4882
74;5130
74;5234
74;5740
74;8322
74;9982
74;9983
74;16255
74;19426
74;19427
74;19759
74;21867
74;21868
74;21869
77;78
77;79
77;13403
77;13404
92;4655
96;2972
96;11888
96;15995
102;232
102;1311
102;4677
102;12941
103;104
103;105
103;2397
103;4979
103;4981
103;4982
103;9553
115;116
119;120
124;126
131;4874
131;13834
134;135
141;10328
141;12879
141;14627
145;1312
157;137
157;142
157;158
157;159
157;367
157;1200
157;8945
157;9798
157;16197
162;163
164;165
164;166
164;167
164;2065
164;7471
172;17829
187;3015
189;1800
189;16957
189;21653
189;21666
206;2081
208;209
208;12336
212;213
212;8401
214;215
223;226
223;11522
234;10132
234;17852
260;258
263;2091
264;1792
267;259
288;12418
292;14296
292;50000
292;50134
292;50198
292;50412
292;50682
292;50683
292;50684
292;51155
296;6359
297;299
297;2109
297;2985
297;6350
302;303
304;305
304;306
304;2987
312;5550
320;14451
322;323
322;324
322;12419
328;329
331;332
336;337
342;343
342;344
342;345
342;346
342;348
342;6255
342;9051
353;354
363;8303
380;381
382;383
382;9795
390;13243
390;13244
400;15677
400;50006
400;50588
400;51643
400;51744
402;15455
402;15456
402;15457
415;3238
416;2496
417;2137
425;5559
425;5560
427;1618
427;11884
430;4496
435;436
435;9588
441;1621
442;443
444;4698
444;12777
451;452
451;453
451;454
451;2153
451;10651
451;16041
451;17515
451;21659
456;457
461;19633
463;464
463;465
463;466
463;12220
463;12221
463;12222
463;12223
468;470
486;487
486;2158
486;4506
503;17465
503;19212
503;19213
509;510
537;539
537;541
537;542
537;9973
543;544
543;545
552;1667
552;1977
552;2190
552;2191
552;9517
552;10562
554;2029
554;2454
558;559
558;561
558;564
558;2486
558;3379
558;13137
558;13226
573;574
578;3465
578;17443
578;19414
578;19570
595;8302
628;3390
632;11338
636;638
636;639
642;643
642;1942
642;2229
644;648
644;1328
644;15424
649;13533
649;14294
651;13200
655;656
657;658
659;21665
661;664
663;2769
663;4393
663;4957
663;13121
663;21654
665;1552
665;1770
665;11868
665;11902
665;13235
668;89
668;870
668;1330
668;13434
668;16396
668;16397
668;18027
672;3842
675;2271
689;9957
699;701
699;4128
707;709
712;2295
717;3438
717;4965
717;13205
729;730
729;11786
731;732
731;2300
731;2301
731;2302
731;2303
731;10409
731;12089
736;740
736;2308
736;14252
748;4282
748;5496
748;5499
748;5501
748;5530
748;5531
748;10265
748;17615
748;17616
752;754
757;750
757;758
757;50035
757;50160
757;50570
757;51916
757;51925
763;19634
767;9787
768;769
789;4608
796;797
799;2382
799;2383
804;9856
804;9857
809;1334
809;9650
809;10042
809;13248
809;14280
816;7015
825;826
825;827
825;9945
830;831
830;3260
832;833
832;2365
838;840
855;14163
855;19395
855;19416
867;2500
875;3578
875;17450
875;18043
875;18200
875;21664
887;3397
895;2408
903;904
913;914
920;921
920;1665
920;23485
928;3451
928;16545
929;11523
934;4115
937;938
937;2429
937;2430
937;9339
937;10578
937;12097
942;14934
942;17832
943;9908
948;1700
948;2440
948;2487
948;8223
950;951
950;952
950;953
950;5359
950;5360
950;5370
950;5374
962;963
962;965
974;1306
974;2507
974;9353
974;10060
975;3039
981;13055
981;20142
985;2207
991;992
991;12172
1003;15768
1018;1021
1018;3550
1018;17776
1018;50174
1018;51920
1018;51921
1018;51922
1026;1805
1026;9621
1026;12978
1026;13346
1026;13347
1039;1040
1039;13056
1046;12413
1048;1049
1055;16014
1062;1063
1062;2525
1075;1076
1077;1078
1084;2538
1086;1087
1098;2541
1105;1106
1107;1108
1111;1112
1111;2544
1111;22399
1114;1115
1114;1116
1117;4962
1118;1119
1120;1121
1120;1122
1128;14173
1131;1132
1133;12416
1136;2192
1136;4085
1136;9926
1137;247
1137;617
1137;1314
1137;1341
1137;1562
1137;2037
1137;2461
1137;2774
1137;3008
1137;3009
1137;3065
1137;3262
1137;3270
1137;4031
1137;4563
1137;4758
1137;4807
1137;4836
1137;5075
1137;5076
1137;5077
1137;5508
1137;9640
1137;9641
1137;9642
1137;9860
1137;11541
1137;12423
1137;12474
1137;13124
1137;51191
1137;51736
1137;51818
1137;51819
1137;51866
1137;51867
1137;51868
1138;1139
1138;3100
1148;1149
1159;5084
1159;5085
1159;5087
1159;10160
1159;20605
1159;22747
1162;1163
1165;570
1168;2202
1168;2571
1168;3727
1168;4078
1168;10067
1168;14758
1168;17436
1168;18178
1184;721
1185;1186
1185;1188
1185;2574
1185;2575
1185;2576
1185;3104
1185;12090
1185;12792
1190;2577
1199;1202
1209;1210
1209;6023
1214;3109
1215;1343
1215;14374
1216;1217
1216;2413
1216;4204
1216;4770
1216;13297
1216;14956
1216;15559
1232;1233
1236;1235
1238;1239
1238;2106
1238;2107
1238;2108
1238;12916
1238;13222
1238;14266
1240;1244
1240;1245
1240;2306
1248;3373
1255;1256
1255;1696
1265;15982
1274;863
1274;1344
1274;11983
1274;16129
1274;19645
1274;21656
1296;3668
1296;13970
1300;13317
1319;1313
1319;5380
1319;50147
1319;51759
1319;51809
1319;51810
1319;51811
1322;3177
1326;15661
1334;996
1352;17235
1363;2896
1363;2897
1363;2898
1363;2970
1363;3413
1363;5214
1363;9819
1363;14317
1363;14515
1363;17860
1363;18341
1363;18520
1364;9571
