KOD_SUKL;DATOD;DATDO;POVOL_BALENI;UCEL;PRACOVISTE;DISTRIBUTOR;POZNAMKA;PREDKLADATEL;VYROBCE
0010263;28.03.2023;30.11.2026;715;Zabezpeèení zásoby antidot pro léèbu osob kontaminovanıch radionuklidy v rámci Støedisek speciální zdravotní péèe o osoby ozáøené pøi radiaèních nehodách (SSZP) a v jinıch zdravotnickıch zaøízeních v Èeské republice a zabezpeèení antidot pro léèbu intoxikací tìkımi kovy pro zdravotnická zaøízení v Èeské republice.;Poskytovatelé zdravotních slueb formou ambulantní nebo lùkové péèe a Støediska speciální zdravotní péèe o osoby ozáøené pøi radiaèních nehodách (SSZP). Koordinaci léèebného programu zabezpeèuje Toxikologické informaèní støedisko Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze.;PHOENIX lékárenskı velkoobchod, s.r.o., K pérovnì 945/7, Hostivaø, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, se sídlem U Nemocnice 499/2, 128 08 Praha 2;"Haupt Pharma Berlin GmbH, Moosrosenstraße 7, 12347 Berlín, Nìmecko; Haupt Pharma Wülfing GmbH, Bethelner Landstr. 18, 31028 Gronau/Leine, Nìmecko"
0013386;01.01.2026;31.12.2028;30;Zabezpeèení léèivého pøípravku v rámci traumatologického plánu Jaderné elektrárny Temelín pro pouití pøi odstraòování nebo zamezení absorpce radiocesia (napø. Cs134, Cs137) v pøípadì radiaèní mimoøádné události. Lze pouít i jako antidotum pro intoxikaci radioaktivním thalliem èi rubidiem.;Ordinace všeobecného praktického lékaøe, MUDr. Koèvara Pavel, Bøezí u Tına nad Vltavou 71, 37305 Temelín;PHOENIX lékárenskı velkoobchod, s.r.o., K pérovnì 945/7, Hostivaø, 102 00 Praha 10;;MUDr. Koèvara Pavel, Bøezí u Tına nad Vltavou 71, 373 05 Temelín;Haupt Pharma Wülfing GmbH, Bethelner Landstr. 18, 31028 Gronau/Leine, Nìmecko
0013386;20.02.2024;31.01.2027;30;Odstraòování nebo zamezení absorpce radiocesia (napø. Cs134, Cs137). Lze pouít i jako antidotum pro intoxikaci radioaktivním thalliem èi rubidiem.;Dümed s.r.o. (ordinace všeobecného praktického lékaøe), Dukovany 269, 675 50 Dukovany.;PHOENIX lékárenskı velkoobchod, s.r.o., K pérovnì 945/7, Hostivaø, 102 00 Praha 10;;Dümed s.r.o., se sídlem Sadová 423, 675 55 Hrotovice;"Heyl Chem.-pharm. Fabrik GmbH & Co. KG, Kurfürstendamm 178-179
10707 Berlin, Nìmecko;
Haupt Pharma Wülfing GmbH, Bethelner Landstr. 18, 31028 Gronau/Leine, Nìmecko"
0013386;28.03.2023;30.11.2026;550;Zabezpeèení zásoby antidot pro léèbu osob kontaminovanıch radionuklidy v rámci Støedisek speciální zdravotní péèe o osoby ozáøené pøi radiaèních nehodách (SSZP) a v jinıch zdravotnickıch zaøízeních v Èeské republice a zabezpeèení antidot pro léèbu intoxikací tìkımi kovy pro zdravotnická zaøízení v Èeské republice.;Poskytovatelé zdravotních slueb formou ambulantní nebo lùkové péèe a Støediska speciální zdravotní péèe o osoby ozáøené pøi radiaèních nehodách (SSZP). Koordinaci léèebného programu zabezpeèuje Toxikologické informaèní støedisko Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze.;PHOENIX lékárenskı velkoobchod, s.r.o., K pérovnì 945/7, Hostivaø, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, se sídlem U Nemocnice 499/2, 128 08 Praha 2;"Heyl Chem.-pharm. Fabrik GmbH & Co. KG, Kurfürstendamm 178-179 10707 Berlin, Nìmecko; 
Haupt Pharma Wülfing GmbH, Bethelner Landstr. 18, 31028 Gronau/Leine, Nìmecko"
0014380;24.05.2021;30.06.2026;200;Zajištìní pohotovostní zásoby léèivého pøípravku k léèbì poškození jater zpùsobenım akutní intoxikací houbou Amanita phalloides (muchomùrka zelená).;Poskytovatelé zdravotních slueb formou ambulantní a lùkové péèe (koordinace léèebného programu: Toxikologické informaèní støedisko Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze).;PHOENIX lékárenskı velkoobchod, s.r.o., K pérovnì 945/7, Hostivaø, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, prostøednictvím Toxikologického informaèního støediska Kliniky pracovního lékaøství;Madaus GmbH, Nìmecko
0014383;24.05.2021;30.06.2026;200;Zajištìní pohotovostní zásoby léèivého pøípravku pro léèbu otrav organofosfátovımi insekticidy nebo chemickımi bojovımi látkami na bázi organofosfátù.;Poskytovatelé zdravotních slueb formou ambulantní a lùkové péèe (koordinace léèebného programu: Toxikologické informaèní støedisko Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze).;PHOENIX lékárenskı velkoobchod, s.r.o., K pérovnì 945/7, Hostivaø, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, prostøednictvím Toxikologického informaèního støediska Kliniky pracovního lékaøství;SERB SA, Avenue Louise 480, 1050 Brüssel, Belgie.
0014772;29.02.2024;28.02.2026;800;Testování funkce reprodukèní osy - odlišení poruchy na centrální úrovni (hypotalamická a pituitární úroveò poruchy) od gonadální dysfunkce u dìtí, adolescentù a dospìlıch. Testování se provádí u pacientù v dìtském vìku s pøedèasnou pubertou a té pøi sledování efektu léèby. U adolescentù je léèivı pøípravek urèen k diagnostice hypogonadismù a obdobnì jako u dospìlıch také pøi vyšetøení hyperandrogenních stavù. U dospìlıch je léèivı pøípravek pouíván zejména k diagnostice poruch pohlavního vıvoje a poruch reprodukce. Vyšetøení pomocí tohoto léèivého pøípravku je také souèástí testování osy hypotalamus-hypofıza u tumorù CNS k èasné detekci malfunkce.;Poskytovatelé zdravotních slueb formou ambulantní a lùkové péèe.;FERRING Pharmaceuticals CZ s.r.o., K Rybníku 475, 252 42 Jesenice u Prahy;;"FERRING Pharmaceuticals CZ s.r.o., K Rybníku 475, 252 42 Jesenice u
Prahy";Ferring GmbH, Wittland 11, D-24109 Kiel, Nìmecko
0017198;24.05.2021;30.06.2026;250;Zajištìní pohotovostní zásoby léèivého pøípravku pro léèbu otrav kyanidy a kyanovodíkem. Léèivı pøípravek lze pouít jako podpùrnı terapeutickı postup pøi systémovıch otravách yperitem, antidotum u otrav cisplatinou, k profylaxi otravy kyanidem pøi terapeutickém podávání nitroprusidu sodného, jako pøísada do roztoku k vıplachu aludku u otrav yperitem, cisplatinou a látkami obsahujícími jód.;Poskytovatelé zdravotních slueb formou ambulantní a lùkové péèe (koordinace léèebného programu: Toxikologické informaèní støedisko Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze).;PHOENIX lékárenskı velkoobchod, s.r.o., K pérovnì 945/7, Hostivaø, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, prostøednictvím Toxikologického informaèního støediska Kliniky pracovního lékaøství;Dr. Franz Köhler Chemie GmbH, Werner-von Siemens-Str. 14-28, 64625, Bensheim, Nìmecko.
0051734;24.05.2021;30.06.2026;250;Zajištìní pohotovostní zásoby léèivého pøípravku pro léèbu otrav olovem a rtutí.;Poskytovatelé zdravotních slueb formou ambulantní a lùkové péèe (koordinace léèebného programu: Toxikologické informaèní støedisko Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze).;PHOENIX lékárenskı velkoobchod, s.r.o., K pérovnì 945/7, Hostivaø, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, prostøednictvím Toxikologického informaèního støediska Kliniky pracovního lékaøství;SERB, 40 avenue George V, 75008 Paris, Francie
0101112;31.12.2024;30.04.2026;150;Zajištìní pohotovostní zásoby léèivého pøípravku pro léèbu pacientù s tuberkulózou jakékoli lokalizace v kritickém stavu s nemoností pøijímat léèiva per os nebo je vstøebávat z GIT (zejména pacienti na umìlé plicní ventilaci s podporou vitálních funkcí).;Poskytovatelé zdravotních slueb formou ambulantní nebo lùkové péèe - koordinace léèebného programu: Toxikologické informaèní støedisko Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze.;BIOTIKA BOHEMIA spol. s r.o., Durychova 101/66, 142 00 Praha 4 ? Lhotka;;Všeobecná fakultní nemocnice v Praze, U Nemocnice 499/2, 128 08 Praha 2;"SW Pharma GmbH, Robert-Koch-Straße 1, 66578 Schiffweiler,
Nìmecko"
0101112;31.10.2024;31.10.2026;5500;Léèba všech forem tuberkulózy s citlivostí pùvodcù na rifampicin, a to vdy v kombinaci s dalšími chemoterapeutiky s citlivostí na patogeny tuberkulózy. Léèba jinıch infekcí, jejich pùvodci jsou citliví na rifampicin. Pøi pouití rifampicinu by mìly bıt dodrovány obecnì uznávané pokyny pro vhodné pouití antimikrobiální látek, speciálnì pro pouití antimikrobiálních látek urèenıch k léèbì tuberkulózy. Pouití intravenózní formy je vyhrazeno pøedevším pro pacienty, kteøí se nacházejí v kritickıch situacích a trpí tìkou formou onemocnìní nebo u kterıch je orální aplikace nemoná nebo nevhodná (poruchy vìdomí nebo poruchy trávení, které omezují orální uívání pøípravku).;Poskytovatelé zdravotních slueb formou ambulantní a lùkové péèe.;BIOTIKA BOHEMIA spol. s r.o., Durychova 101/66, 142 00 Praha 4;;BIOTIKA BOHEMIA spol. s r.o., Durychova 101/66, 142 00 Praha 4;SW Pharma GmbH, Robert-Koch-Straße 1, 66578 Schiffweiler
0101112;07.04.2021;30.04.2026;400;Zajištìní pohotovostní zásoby léèivého pøípravku pro léèbu pacientù s tuberkulózou jakékoli lokalizace v kritickém stavu s nemoností pøijímat léèiva per os nebo je vstøebávat z GIT (zejména pacienti na umìlé plicní ventilaci s podporou vitálních funkcí).;Poskytovatelé zdravotních slueb formou ambulantní a lùkové péèe (koordinace léèebného programu: Toxikologické informaèní støedisko Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze).;BIOTIKA BOHEMIA spol. s r.o., Durychova 101/66, Lhotka, 142 00 Praha 4;;Všeobecná fakultní nemocnice v Praze, prostøednictvím Toxikologického informaèního støediska Kliniky pracovního lékaøství;Riemser Pharma GmbH, An der Wiek 7, 17493 Greifswald-Insel Riems, Nìmecko
