ZAV;NAZEV_CS
A;pomocné látky zaøazené do kategorie 2 (pøíloha I k Naøízení Evropského parlamentu a Rady (ES) è. 273/2004)
B;pomocné látky zaøazené do kategorie 3 (pøíloha I k Naøízení Evropského parlamentu a Rady (ES) è. 273/2004)
E;pøípravky obsahující efedrin nebo více ne 30 mg pseudoefedrinu
P;prekursory - látky zaøazené do kategorie 1 (pøíloha I k Naøízení Evropského parlamentu a Rady (ES) è. 273/2004)
Z;zaøazené psychoaktivní látky (Naøízení vlády è. 11/2025 Sb.)
1;omamné látky zaøazené do seznamu è. 1 (pøíloha è. 1 k Naøízení vlády è. 463/2013 Sb.) - recept s modrım pruhem
2;omamné látky zaøazené do seznamu è. 2 (pøíloha è. 2 k Naøízení vlády è. 463/2013 Sb.)
3;omamné látky zaøazené do seznamu è. 3 (pøíloha è. 3 k Naøízení vlády è. 463/2013 Sb.)
4;psychotropní látky zaøazené do seznamu è. 4 (pøíloha è. 4 k Naøízení vlády è. 463/2013 Sb.)
5;psychotropní látky zaøazené do seznamu è. 5 (pøíloha è. 5 k Naøízení vlády è. 463/2013 Sb.) - recept s modrım pruhem
6;psychotropní látky zaøazené do seznamu è. 6 (pøíloha è. 6 k Naøízení vlády è. 463/2013 Sb.)
7;psychotropní látky zaøazené do seznamu è. 7 (pøíloha è. 7 k Naøízení vlády è. 463/2013 Sb.)
8;vybrané pøípravky zaøazené do seznamu è. 8 (pøíloha è. 8 k Naøízení vlády è. 463/2013 Sb.)
