kod,pkod,naz,dop,pro,typ,mjd,mj,tbal,vyr,zem,ohl,uhr1,lim1,ome1,uhr2,lim2,ome2,uhr3,lim3,ome3,mfc,dnc,uhs,upo,uhp,udoks,udo,skp,dat,kat,rp1,rp2,rp3,rp4,rp5,riziko,typ_pomucky,vek_od,vek_do,kod_sklo
5018958,0000000,ACTREEN LITE CATH,"STERILNÍ, POTAHOVANÝ KATETR, TIEMANN, CH 14, 45CM, 30 KS",P,02,30,ks,bal,B61,IT,B. Braun Medical s.r.o.,1444.80,,"NEF, URN",0.00,,,0.00,,,1444.80,,02.03.01.03,,,210,1,,2026-01-01,,,,,,,,,,,
5018963,0000000,ACTREEN LITE CATH,"STERILNÍ, POTAHOVANÝ KATETR, NELATON, CH 12, 45CM, 30 KS",P,02,30,ks,bal,B61,IT,B. Braun Medical s.r.o.,1444.80,,"NEF, URN",0.00,,,0.00,,,1444.80,,02.03.01.03,,,210,1,,2026-01-01,,,,,,,,,,,
5018969,0000000,ACTREEN LITE CATH,"STERILNÍ, POTAHOVANÝ KATETR, NELATON, CH 10, 20 CM, 30 KS",P,02,30,ks,bal,B61,IT,B. Braun Medical s.r.o.,1444.80,,"NEF, URN",0.00,,,0.00,,,1444.80,,02.03.01.03,,,210,1,,2026-01-01,,,,,,,,,,,
5018981,0000000,ACTREEN GLYS SET,"STERILNÍ, POTAHOVANÝ KATETR S INTEGROVANÝM SÁČKEM, NELATON, CH 08, 50 CM, 30 KS",P,02,30,ks,bal,B61,IT,B. Braun Medical s.r.o.,1747.20,,"NEF, URN",0.00,,,0.00,,,1747.20,,02.03.02.02,,,210,1,,2026-01-01,,,,,,,,,,,
5018986,0000000,ACTREEN GLYS SET,"STERILNÍ, POTAHOVANÝ KATETR S INTEGROVANÝM SÁČKEM, NELATON, CH 18, 50 CM, 30 KS",P,02,30,ks,bal,B61,IT,B. Braun Medical s.r.o.,1747.20,,"NEF, URN",0.00,,,0.00,,,1747.20,,02.03.02.02,,,210,1,,2026-01-01,,,,,,,,,,,
5018742,0000000,ASKINA DRESSIL ACTIVE BORDER,ABSORPČNÍ PĚNOVÉ KRYTÍ SE SILIKONOVOU VRSTVOU 10X10 CM (10 KS BAL.),P,01,1000,cm2,bal,A76,CN,B. Braun Medical s.r.o.,2430.40,Z,,0.00,,,0.00,,,2430.40,,01.02.07.04,,,,,,2025-11-01,,,,,,,,,,,
5018635,0000000,NETTI PRECISION 2,"ANTIDEKUBITNÍ SEDÁK, VYSOKÉ RIZIKO, ZVÝŠENÉ ODLEHČENÍ TLAKU NA KOSTRČ A PÁN. DNO",P,07,1,ks,bal,982,NO,MEYRA ČR s.r.o.,7304.64,Z,"GER, NEU, ORT, PRL, REH",0.00,,,0.00,,,13490.00,,07.06.02.03,,,1,36,,2025-10-01,,,,,,,,,,,
5018618,0000000,"Pooperační obuv ""Mars""",Obuv pro odlehčení paty,P,04,1,ks,ks,B64,DE,"ORTHO-AKTIV, spol. s r.o.",487.20,,"DIA, ORP, POP, ORT, REH, CHI",0.00,,,0.00,,,2271.50,,04.07.01.01,,,1,12,,2025-10-01,,,,,,,,,,,
5018624,0000000,Lancety MEDSUN,"Sterilní jednorázové lancety, 100 ks",P,05,100,ks,ks,B68,CN,Lorex Distribution s.r.o.,292.32,,"DIA, INT, PRL, J4",0.00,,,0.00,,,292.32,,05.01.02.01,,,,,,2025-10-01,,,,,,,,,,,
5018531,0000000,SENSOVISC 75mg/3ml,"INTRAARTIKULÁRNÍ INJEKCE, HRAZENA 1 APLIKACE DO 1 KLOUBU/6 MĚS. P",P,11,1,ks,bal,338,TR,Archie Samuel s.r.o.,1544.48,,"ORT, REV",0.00,,,0.00,,,3088.96,,11,,50.00,1,6,,2025-08-01,,,,,,,,,,,
5017104,0000000,AirFit™ F20 Non Magnetic,"velikost: S, M, L",P,10,1,ks,ks,B33,AU,ResMed CZ s.r.o.,3895.36,,"NEU, INT, KAR, ORL, PNE, PSY, ANS",0.00,,,0.00,,,4861.32,,10.04.04.05,,90.00,2,12,,2024-06-01,,,,,,,,,,,
5017008,0000000,Mepilex Border Flex,"12,5x12,5 cm, 10 ks, samolepící absorpční pěnové krytí se silikonovou vrstvou",P,01,1562.5,cm2,bal,MOL,SE,"Mölnlycke Health Care, s.r.o.",3797.50,Z,,0.00,,,0.00,,,3797.50,,01.02.07.04,,,,,,2025-07-01,,,,,,,,,,,
