kod,popis,typ_odbornosti
HEM,Hematolog,LEKAR
ALG,alergolog a klinický imunolog,LEKAR
ANS,anesteziolog a intenzivista,LEKAR
DER,dermatovenerolog,LEKAR
PED,"dětský lékař; praktický lékař pro děti a dorost",LEKAR
DIA,diabetolog a endokrinolog,LEKAR
FON,foniatr,LEKAR
GER,geriatr,LEKAR
GYN,gynekolog a porodník,LEKAR
INT,internista,LEKAR
KAR,kardiolog,LEKAR
ONK,klinický onkolog,LEKAR
OST,klinický osteolog,LEKAR
ORD,lékař se specializací v oboru ortodoncie,LEKAR
ORP,lékař se specializací v oboru ortopedické protetiky,LEKAR
POP,lékař se zvláštní odbornou způsobilostí v popáleninové medicíně,LEKAR
NEF,nefrolog,LEKAR
NEO,neonatolog,LEKAR
NEU,neurolog,LEKAR
OPH,oftalmolog,LEKAR
ORT,ortoped,LEKAR
ORL,otorinolaryngolog,LEKAR
PLA,plastický chirurg,LEKAR
PNE,pneumolog,LEKAR
PRL,praktický lékař,LEKAR
PSY,psychiatr,LEKAR
REH,rehabilitační lékař,LEKAR
REV,revmatolog,LEKAR
TVL,tělovýchovný lékař,LEKAR
TRA,traumatolog,LEKAR
URN,urolog,LEKAR
J16,odborná pracoviště s činností angiologickou a lymfologickou,ZVLASTNI
NCH,neurochirurg,LEKAR
SDP,sestra v domácí péči,SESTRA
SLO,sestra v lékařských oborech,SESTRA
CHI,chirurg,LEKAR
CHR,chirurgie,LEKAR
DRV,dermatovenerologie,LEKAR
J4,lékař specializovaného pracoviště pro léčbu dědičných poruch metabolismu,ZVLASTNI
ANG,"angiolog, lymfolog a flebolog",LEKAR
LYM,"lymfolog, angiolog a flebolog",LEKAR
