kod_subjekt,kod_iso,nazev
A99,DE,HOGGI GmbH
BRI,GB,ConvaTec Limited
157,DK,WIDEX A/S
B26,CZ,ERILENS s.r.o.
154,DK,"GN Hearing A/S (GN ReSound A/S, Beltone A/S, Interton A/S)"
A81,NL,Vicair BV
B15,RO,S.C Rompharm Company S.R.I.
A35,SK,"CHIRANA T. Injecta, a.s."
903,CH,Sonova AG
B10,IT,Medical Products Research
A76,CN,"Winner Medical Co., Ltd."
ABA,DK,Abena A/S
ALM,KR,"ALL MEDICUS CO.,LTD"
SEF,FR,SEFAM
070,SK,Protetika a.s.
PAP,SE,Attends Healthcare AB
PAT,CZ,PATRON Bohemia a.s.
AVM,GB,Brightwake Ltd (trading as Advancis Medical)
PHA,DE,PAUL HARTMANN AG
B03,SE,ABIGO Medical AB
BSN,DE,BSN Medical GmbH
999,CN,"Microtech Medical (Hangzhou) Co.,Ltd."
A46,FR,"Laboratoires Urgo, S.A.S."
RAA,DE,Lohmann&Rauscher International GmbH&Co.KG
OXY,US,AirSep Corporation
SAM,DE,Heinen + Löwenstein GmbH
SMD,DE,Sunrise Medical GmbH
RPC,US,Respironics Inc.
PAO,CZ,PANOP CZ s.r.o.
934,JP,"Asahi Polyslider Company, Limited"
918,GB,TG Eakin Ltd
RPC,US,Respironics Inc.
227,CZ,"Svárovský, s.r.o."
PRG,IT,REHATEAM s.r.l.
B53,CZ,BATIST Medical a.s.
BAT,CZ,BM zbytková a.s.
RMA,GB,Roma Medical Aids Ltd
HAB,CZ,David Hanáček
OPO,US,OPPO MEDICAL INC.
954,FR,PHARMA OUEST INDUSTRIES
ANH,CN,"Anhui Kangda Medical Products Co.,Ltd."
HAO,CZ,Martina Škvařil Havelcová
905,CH,Lifescan Europe GmbH
938,CN,"FOSHAN L&C MEDICAL TECHNOLOGY CO.,Ltd."
SCA,SE,Essity Hygiene and Health AB
OTP,CZ,ONARSAN s.r.o.
PRP,DE,PARI Gmbh
RQL,CZ,RQL s.r.o.
RQL,CZ,RQL s.r.o.
OLI,ES,Orliman S.L.U.
OCL,NL,Sonoma Pharmaceuticals Netherlands B.V.   (dříve Oculus Innovative Science Netherlands B.V.)
MRA,DE,MEYRA GmbH
MRA,DE,MEYRA GmbH
134,IT,Gloria Med S.p.A.
MOL,SE,Mölnlycke Health Care AB
FOT,ES,Forta Fabricaciones ortopédicas Albacete. S.L.
GRA,CZ,Grade Medical s.r.o.
DAN,DK,Dansac A/S
MOR,CZ,MORASPOL s.r.o.
FAZ,IT,FAZZINI SRL
B32,US,"ROHO, Inc."
ADC,GB,"Abbott Diabetes Care, Ltd."
PTX,GB,Smiths Medical International Ltd.
VER,BE,VERMEIREN GROUP N.V.
TYT,DK,Tytex A/S
VLT,CZ,INVAZ s.r.o.
105,CZ,"VUP Medical, a.s."
PRG,IT,REHATEAM s.r.l.
REM,AU,ResMed Limited
UNM,DK,Unomedical a/s
B33,AU,ResMed Pty Ltd
ARK,JP,Arkray Global Bussiness
THU,FR,Thuasne
HAN,CZ,"HANDICAP, a.s."
FAH,DE,Andreas Fahl Medizintechnik-Vertrieb GmbH
THU,FR,Thuasne
138,DE,medi GmbH & Co. KG
HLZ,CZ,"Holzbecher, spol. s r.o. barevna a bělidlo Zlíč"
KOX,CZ,KOVONAX spol. s r.o.
KOX,CZ,KOVONAX spol. s r.o.
005,CZ,"BONEKA, spol. s r.o."
REP,CZ,REPO s.r.o.
MDA,PL,MDH Sp.z o.o.
VEG,TW,Vega Technologies Inc.
MDA,PL,MDH Sp.z o.o.
UAB,LT,UAB Kasko Group
KOW,DE,Erwin Kowsky GmbH & Co. KG
UAB,LT,UAB Kasko Group
TDA,US,Tandem Diabetes Care Inc.
ART,IT,Artsana S.p.A.
MIO,KR,"MiCoBioMed Co., Ltd."
FLN,IT,FLAEM NUOVA S.p.A.
PIN,IT,Calzificio Pinelli s.r.l.
SMD,DE,Sunrise Medical GmbH
DOL,CZ,DOLLANO GROUP SE v likvidaci
TEL,IE,Teleflex Medical
150,DK,Oticon A/S
PHQ,FR,Pharmaouest industries
073,CZ,HARTMANN - RICO a.s.
BAU,DE,Bauerfeind AG
LEC,GB,James Leckey Design Ltd
COL,DK,COLOPLAST A/S
DJY,US,"DJO, LLC"
238,DE,Otto Bock Mobility Solutions GmbH
948,DE,IME-DC GmbH
237,CZ,DEONA MEDI s.r.o.
950,CA,Covalon Technologies Ltd.
ADV,GB,Advanced medical solutions limited
238,DE,Otto Bock Mobility Solutions GmbH
ISM,TR,ISTEM1 MEDICAL LTD.
BOE,DE,Boehringer Ingelheim Pharma GmbH & Co. KG
DVL,DE,DeVilbiss Healthcare GmbH
054,CZ,LOANA NANO MEDI s.r.o.
957,DE,BioPolymer GmbH&Co. KG
963,DE,Schülke&Mayr GmbH
BBM,DE,B. Braun Melsungen AG
REL,CH,Regen Lab SA
984,CN,"Yangzhou Super Union Medical Material Co.,Ltd."
464,AT,BHM-Tech Produktionsgesellschaft mbH
140,CH,SIGVARIS AG
AKC,PL,Akces-Med Sp. z o.o.
ORK,CZ,ORTIKA a.s.
A06,CN,Sterilance Medical (Suzhou) inc.
A07,CN,Bioland Technology Ltd.
BAX,US,"Baxalta US, Inc."
A08,CZ,ENEO Pharmaceuticals s. r. o.
AKS,DE,aks Aktuelle Krankenpflege Systeme GmbH
INV,DE,Invacare GmbH
930,IT,Pikdare S.p.A.
A10,CN,"Infinovo Medical Co.,Ltd."
A09,US,OSNovative Systems Inc.
