kod,nazev
01,ZP krycí
02,ZP pro inkontinentní pacienty
03,ZP pro pacienty se stomií
04,ZP ortopedicko protetické a ortopedická obuv
05,ZP pro pacienty s diabetem a s jinými poruchami metabolismu
06,ZP pro kompresivní terapii
07,ZP pro pacienty s poruchou mobility
08,ZP pro pacienty s poruchou sluchu
09,ZP pro pacienty s poruchou zraku
10,"ZP respirační, inhalační a pro aplikaci enterální výživy"
11,ZP nekategorizované
12,Kompenzační pomůcky pro tělesně postižené
13,Dále nespecifikované pomůcky
24,ZP ortopedicko-protetické - na zakázku
26,ZP pro kompresní terapii - na zakázku
30,Opravy a úpravy ZP
