KOD_SUKL;NAZEV;CESTA;SILA;FORMA;BALENI;ATC
0255145;ABECMA;IVN;260-500X10^6BUNÌK;INF DIS;10-100ML(VAK50-500ML);L01XL07
0070702;ABROTANUM;POR;2CH-200CH;GRA;1X4G;V12
0077090;ABROTANUM;POR;3K-10MK;GRA;1X4G;V12
0213248;ACARIZAX;SLG;12SQ-HDM;SLG LYO;90;V01AA03
0213247;ACARIZAX;SLG;12SQ-HDM;SLG LYO;30;V01AA03
0213246;ACARIZAX;SLG;12SQ-HDM;SLG LYO;10;V01AA03
0077094;ACTAEA RACEMOSA;POR;31CH-200CH;GRA;1X4G;V12
0077095;ACTAEA RACEMOSA;POR;3K-10MK;GRA;1X4G;V12
0248580;ACTAIR;SLG;300IR;SLG TBL NOB;90;V01AA03
0248579;ACTAIR;SLG;300IR;SLG TBL NOB;30;V01AA03
0248578;ACTAIR;SLG;100IR+300IR;SLG TBL NOB;3X100IR+28X300IR;V01AA03
0248576;ACTAIR;SLG;100IR;SLG TBL NOB;15;V01AA03
0248575;ACTAIR;SLG;100IR;SLG TBL NOB;3;V01AA03
0220732;ACTYNOX;INH;50%/50%;GAS CRS;50L II;N01AX63
0225642;ACTYNOX;INH;50%/50%;GAS CRS;2L III;N01AX63
0225643;ACTYNOX;INH;50%/50%;GAS CRS;5L III;N01AX63
0225644;ACTYNOX;INH;50%/50%;GAS CRS;15L III;N01AX63
0225645;ACTYNOX;INH;50%/50%;GAS CRS;50L III;N01AX63
0225646;ACTYNOX;INH;50%/50%;GAS CRS;2L IV;N01AX63
0225647;ACTYNOX;INH;50%/50%;GAS CRS;5L IV;N01AX63
0225648;ACTYNOX;INH;50%/50%;GAS CRS;15L IV;N01AX63
0225649;ACTYNOX;INH;50%/50%;GAS CRS;50L IV;N01AX63
0220731;ACTYNOX;INH;50%/50%;GAS CRS;15L II;N01AX63
0220730;ACTYNOX;INH;50%/50%;GAS CRS;5L II;N01AX63
0220729;ACTYNOX;INH;50%/50%;GAS CRS;2L II;N01AX63
0220728;ACTYNOX;INH;50%/50%;GAS CRS;50L I;N01AX63
0220727;ACTYNOX;INH;50%/50%;GAS CRS;15L I;N01AX63
0220726;ACTYNOX;INH;50%/50%;GAS CRS;5L I;N01AX63
