ObdobÌ;Typ hl·öenÌ;ATC7;KÛd S⁄KL;N·zev p¯Ìpravku;DoplnÏk n·zvu;Drûitel registraËnÌho rozhodnutÌ;ZemÏ;Typ pohybu;PoËet balenÌ;PoËet definovan˝ch dennÌch d·vek/balenÌ;Zp˘sob v˝deje;Hrazeno
2020.05;Distributor;A01AA51;203909;ELMEX GEL…E;33,19MG/G+22,1MG/G DNT GEL 25G;CPG;D;D;17280;;F;Ne
2020.05;Distributor;A01AD;46899;MUNDISAL;87,1MG/G ORM GEL 1X8G;MUG;A;D;6940;;F;Ne
2020.05;Distributor;A01AD02;135476;OROCALM;1,5MG/ML ORM SPR SOL 1X30ML;CSK;D;D;120;;F;Ne
2020.05;Distributor;A01AD02;180305;TANTUM VERDE;1,5MG/ML GGR 120ML;ANG;CZ;D;40608;;F;Ne
2020.05;Distributor;A01AD11;191186;HERBADENT;GNG SOL 1X25ML;HDP;CZ;D;5150;;F;Ne
2020.05;Distributor;A01AD11;64758;KAMISTAD SENZITIV;185MG/G+20MG/G ORM GEL 1X10G;STD;D;D;46572;;F;Ne
2020.05;Distributor;A01AD11;232857;SOLCOSERYL;2,125MG/G+10MG/G ORM PST 1X5G;MYL;IRL;D;16200;;F;Ne
2020.05;Distributor;A02AD01;58118;RENNIE;680MG/80MG TBL MND 48;BYS;CZ;D;44928;4,8;F;Ne
2020.05;Distributor;A02AD01;58119;RENNIE;680MG/80MG TBL MND 96;BYS;CZ;D;22752;9,6;F;Ne
2020.05;Distributor;A02BA03;46327;FAMOSAN;10MG TBL FLM 10;PMP;CZ;D;16037;2,5;F;Ne
2020.05;Distributor;A02BA03;47862;FAMOSAN;20MG TBL FLM 100;PMP;CZ;D;21716;50;R;Ano
2020.05;Distributor;A02BA03;96193;FAMOSAN;20MG TBL FLM 20;PMP;CZ;D;6993;10;R;Ano
2020.05;Distributor;A02BA03;59595;FAMOSAN;20MG TBL FLM 50;PMP;CZ;D;5500;25;R;Ano
2020.05;Distributor;A02BA03;82952;QUAMATEL;20MG INJ/INF PSO LQF 5+5X5ML;GDB;H;D;7452;2,5;R;Ano
2020.05;Distributor;A02BC01;215608;HELICID 10 ZENTIVA;10MG CPS ETD 28 I;ZNP;CZ;D;15688;14;F;Ne
2020.05;Distributor;A02BC01;25366;HELICID 20 ZENTIVA;20MG CPS ETD 90 I;ZNP;CZ;D;48722;90;R;Ano
2020.05;Distributor;A02BC01;164967;OMEPRAZOL TEVA PHARMA;20MG CPS ETD 14;TVH;NL;D;39623;14;F;Ne
2020.05;Distributor;A02BC01;164972;OMEPRAZOL TEVA PHARMA;20MG CPS ETD 30;TVH;NL;D;49813;30;R;Ano
2020.05;Distributor;A02BC01;75166;ORTANOL;20MG CPS ETD 14;LEK;SLO;D;2508;14;F;Ne
2020.05;Distributor;A02BC01;185344;ORTANOL;20MG CPS ETD 28 II;LEK;SLO;D;7980;28;R;Ano
2020.05;Distributor;A02BC01;115182;ORTANOL;20MG CPS ETD 56;LEK;SLO;D;10702;56;R;Ano
2020.05;Distributor;A02BC02;214427;CONTROLOC;40MG INJ PLV SOL 1;TAK;D;D;108630;1;R;Ano
2020.05;Distributor;A02BC02;109415;NOLPAZA;40MG TBL ENT 84;KRK;SLO;D;55800;84;R;Ano
2020.05;Distributor;A02BC03;226590;LANXIB;30MG CPS ETD 28 II;XAS;CY;D;3240;28;R;Ano
2020.05;Distributor;A02BC03;226592;LANXIB;30MG CPS ETD 56 II;XAS;CY;D;3240;56;R;Ano
2020.05;Distributor;A02BC03;106344;LANZUL;15MG CPS ETD 28;KRK;SLO;D;840;14;R;Ano
2020.05;Distributor;A02BC04;141960;RAPOXOL;20MG TBL ENT 100;SAN;CZ;D;6771;100;R;Ano
2020.05;Distributor;A02BC05;191093;EMANERA;20MG CPS ETD 30 II;KRK;SLO;D;1200;20;R;Ano
2020.05;Distributor;A02BC05;191104;EMANERA;40MG CPS ETD 30 II;KRK;SLO;D;1080;40;R;Ano
2020.05;Distributor;A03AX13;57586;ESPUMISAN;40MG CPS MOL 50;BBE;D;D;17280;4;F;Ne
2020.05;Distributor;A03BA01;392;ATROPIN BIOTIKA 0,5 MG;0,5MG/ML INJ SOL 10X1ML;BBP;CZ;D;2400;3,3333;R;Ano
2020.05;Distributor;A03DA02;88708;ALGIFEN;500MG/5,25MG/0,1MG TBL NOB 20;ZNP;CZ;D;38059;;R;Ano
2020.05;Distributor;A03DA02;176954;ALGIFEN NEO;500MG/ML+5MG/ML POR GTT SOL 1X50ML;TCO;CZ;D;76800;;R;Ano
2020.05;Distributor;A03FA07;172509;ASKETON;50MG TBL FLM 100 II;MOE;CY;D;9700;;R;Ano
2020.05;Distributor;A03FA07;166777;ITOPRID PMCS;50MG TBL FLM 100 II;PMP;CZ;D;3317;;R;Ano
2020.05;Distributor;A04AA01;185206;NOVETRON;8MG POR TBL DIS 10;PHG;CZ;D;975;5;R;Ano
2020.05;Distributor;A04AA01;242304;ONDANSETRON ACCORD;2MG/ML INJ/INF SOL 5X4ML;AHP;PL;D;740;2,5;R;Ano
2020.05;Distributor;A04AA01;187607;ONDANSETRON B. BRAUN;2MG/ML INJ SOL 20X4ML II;BMM;D;D;360;10;R;Ano
2020.05;Distributor;A04AA01;24550;ONDANSETRON KABI;2MG/ML INJ SOL 5X4ML;FRE;D;D;14840;2,5;R;Ano
2020.05;Distributor;A04AA01;216916;ZOFRAN;2MG/ML INJ SOL 5X4ML;NAI;CZ;D;2493;2,5;R;Ano
2020.05;Distributor;A04AA01;216912;ZOFRAN ZYDIS;8MG POR TBL DIS 10;NAI;CZ;D;4000;5;R;Ano
2020.05;Distributor;A04AA02;124239;GRANISETRON B. BRAUN;1MG/ML INJ/INF CNC SOL 5X3ML;BMM;D;D;10;5;R;Ano
2020.05;Distributor;A04AA05;28441;ALOXI;250MCG INJ SOL 1X5ML;HBP;IRL;D;996;1;R;Ano
2020.05;Distributor;A04AA05;167644;ALOXI;500MCG CPS MOL 1;HBP;IRL;D;1080;1;R;Ano
2020.05;Distributor;A04AA05;116095;PALONOSETRON FRESENIUS KABI;250MCG INJ SOL 1X5ML;FRN;CZ;D;2840;1;R;Ano
2020.05;Distributor;A04AA55;210492;AKYNZEO;300MG/0,5MG CPS DUR 1;HBP;IRL;D;2133;1;R;Ano
2020.05;Distributor;A04AD;17996;KINEDRYL;25MG/30MG TBL NOB 10;NOZ;CZ;D;3380;;V;Ne
2020.05;Distributor;A04AD12;26637;EMEND;125MG+80MG CPS DUR 1+2;MSD;NL;D;608;1,7273;R;Ano
2020.05;Distributor;A05AA02;91017;URSOFALK;250MG CPS DUR 100;FAK;D;D;11472;33,3333;R;Ano
2020.05;Distributor;A05AA04;219168;OCALIVA;10MG TBL FLM 30;INI;IRL;D;28;30;R;Ano
2020.05;Distributor;A05AA04;219167;OCALIVA;5MG TBL FLM 30;INI;IRL;D;100;15;R;Ano
2020.05;Distributor;A05AX;119658;FEBICHOL;100MG CPS MOL 50;NOZ;CZ;D;6552;;F;Ne
2020.05;Distributor;A05BA;125753;ESSENTIALE;300MG CPS DUR 100;SFK;CZ;D;31192;;F;Ne
2020.05;Distributor;A05BA;181293;ESSENTIALE FORTE;600MG CPS DUR 30;SFK;CZ;D;16980;;F;Ne
2020.05;Distributor;A05BA03;214598;FLAVOBION;70MG TBL FLM 50;TAK;D;D;17900;;F;Ne
2020.05;Distributor;A05BA03;19571;LAGOSA;TBL OBD 100;WGP;D;D;4770;;R;Ne
2020.05;Distributor;A05BA03;19570;LAGOSA;TBL OBD 50;WGP;D;D;290;;F;Ne
2020.05;Distributor;A05BA03;234204;LEGALON 140;140MG CPS DUR 30;MYL;IRL;D;5040;;F;Ne
2020.05;Distributor;A06AB02;223129;DULCOLAX;5MG TBL ENT 40;SFK;CZ;D;20160;20;F;Ne
2020.05;Distributor;A06AB06;115325;»AJ Z LISTU SENNY;SPC 20 I;MGV;CZ;D;4620;;F;Ne
2020.05;Distributor;A06AB06;92247;SENNOV› LIST;SPC 1X50G;MGV;CZ;D;1950;;F;Ne
2020.05;Distributor;A06AB08;204459;GALLAX;7,5MG/ML POR GTT SOL 15ML;GAU;CZ;D;964;22,5;F;Ne
2020.05;Distributor;A06AB08;204459;GALLAX;7,5MG/ML POR GTT SOL 15ML;GAU;CZ;V;-1456;22,5;F;Ne
2020.05;Distributor;A06AB08;204460;GALLAX;7,5MG/ML POR GTT SOL 30ML;GAU;CZ;D;630;45;F;Ne
2020.05;Distributor;A06AB08;223136;GUTTALAX;7,5MG/ML POR GTT SOL 1X15ML;SFK;CZ;D;94076;22,5;F;Ne
2020.05;Distributor;A06AB08;15413;LAXYGAL;7,5MG/ML POR GTT SOL 1X25ML;TCO;CZ;D;37523;15;F;Ne
2020.05;Distributor;A06AB58;207229;CITRAFLEET;10MG/3,5G/10,97G POR PLV SOL SCC 2;CAS;E;D;4317;1;R;Ano
2020.05;Distributor;A06AD11;17190;LACTULOSA BIOMEDICA;667MG/ML SIR 250ML;BCS;CZ;D;967;24,888;F;Ne
2020.05;Distributor;A06AD11;17191;LACTULOSA BIOMEDICA;667MG/ML SIR 500ML;BCS;CZ;D;4768;37,3134;F;Ne
2020.05;Distributor;A06AD11;42547;LACTULOSE AL;667MG/ML SIR 1X500ML;AYL;D;D;31680;49,8507;F;Ne
2020.05;Distributor;A06AD15;242669;FORLAX;10G POR PLV SOL SCC 20;IHC;F;D;6510;20;F;Ne
2020.05;Distributor;A06AD15;184039;FORLAX;4G POR PLV SOL SCC 20;IHC;F;D;1944;8;R;Ne
2020.05;Distributor;A06AD15;242665;FORLAX;4G POR PLV SOL SCC 20;IHC;F;D;5832;8;R;Ne
2020.05;OOV;A06AH03;223014;MOVENTIG;25MG TBL FLM 30X1;KKH;NL;D;2143;30;R;Ano
2020.05;Distributor;A07BA01;982;CARBOSORB;25G POR PLV 25G;ISS;SK;D;265;5;F;Ne
2020.05;Distributor;A07BA01;31951;CARBOSORB;320MG TBL NOB 20;ISS;SK;D;2835;1,28;F;Ne
2020.05;Distributor;A07BA51;31950;CARBOCIT;320MG/25MG/3MG TBL NOB 20;ISS;SK;D;322;;F;Ne
2020.05;Distributor;A07BA51;31963;CARBOTOX;320MG/25MG TBL NOB 20;ISS;SK;D;9;;F;Ne
2020.05;Distributor;A07DA03;233899;IMODIUM;2MG CPS DUR 20;MCN;IRL;D;69336;4;F;Ne
2020.05;Distributor;A07DA03;10151;LOPERON;2MG CPS DUR 10 I;HHO;D;D;9847;2;F;Ne
