KOD_SUKL;LEKAR;LEKARNIK;PACIENT;TYP;PLATNOST_OD;PLATNOST_DO;PRIORITA
0285329;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0285391;1;1;0;EM;28.03.2024;28.03.2034;Stredni
0285420;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0285636;1;1;0;EM;16.02.2024;16.02.2034;Stredni
0285859;1;1;1;DI;29.09.2025;29.09.2027;Stredni
0285890;1;1;0;EM;28.11.2025;01.01.2050;Stredni
0278723;1;0;0;OP;01.07.2024;31.12.2050;Stredni
0278735;1;1;0;EM;10.07.2024;10.07.2034;Stredni
0278753;1;0;0;OP;01.07.2024;31.12.2050;Stredni
0278778;1;1;0;EM;04.07.2017;04.07.2027;Stredni
0278778;0;0;1;EM;08.06.2017;08.06.2027;Stredni
0278787;1;1;0;EM;16.02.2024;16.02.2034;Stredni
0279129;0;0;1;EM;10.07.2024;10.07.2034;Stredni
0279178;0;0;1;EM;26.10.2025;01.01.2050;Stredni
0279181;1;1;0;EM;26.10.2025;01.01.2050;Stredni
0279595;1;1;0;EM;25.02.2019;25.02.2029;Stredni
0279595;0;0;1;EM;25.02.2019;25.02.2029;Stredni
0280706;1;1;0;DHPC;12.09.2025;12.03.2026;Vysoka
0280796;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0281041;1;1;0;EM;10.07.2024;10.07.2034;Stredni
0281389;0;0;1;EM;26.10.2025;01.01.2050;Stredni
0282740;1;0;0;OP;01.07.2024;31.12.2050;Stredni
0284539;1;1;0;DI;19.03.2024;19.03.2026;Stredni
0284557;1;1;0;EM;12.06.2025;01.01.2050;Stredni
0284563;1;1;0;EM;12.06.2025;01.01.2050;Stredni
0284836;1;1;0;EM;12.06.2025;01.01.2050;Stredni
0284843;1;1;0;EM;12.06.2025;01.01.2050;Stredni
0284895;0;0;1;EM;23.05.2024;23.05.2034;Stredni
0284912;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0284974;0;0;1;EM;30.01.2026;01.01.2050;Stredni
0284984;1;1;0;EM;30.01.2026;01.01.2050;Stredni
0284984;0;0;1;EM;30.01.2026;01.01.2050;Stredni
0284986;1;1;0;EM;28.03.2024;28.03.2034;Stredni
0284987;1;1;0;EM;28.03.2024;28.03.2034;Stredni
0284993;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0284994;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0285005;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0285013;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0285013;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0285016;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0285016;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0285021;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0285028;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0285032;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0285033;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0285129;1;1;1;DI;16.06.2025;16.06.2027;Stredni
0285318;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0285321;1;1;0;EM;28.11.2025;01.01.2050;Stredni
0285322;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0285324;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0285940;1;1;0;EM;28.11.2025;01.01.2050;Stredni
0285942;1;1;0;EM;28.11.2025;01.01.2050;Stredni
0285944;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0285948;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0286024;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0286027;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0286031;1;1;0;EM;01.12.2025;01.01.2050;Stredni
0286036;0;0;1;EM;01.12.2025;01.01.2050;Stredni
0286067;0;0;1;EM;05.03.2025;05.03.2035;Stredni
0286068;0;0;1;EM;20.11.2025;01.01.2050;Stredni
0286069;0;0;1;EM;20.11.2025;01.01.2050;Stredni
0286105;1;1;0;EM;04.08.2025;01.01.2050;Stredni
0286122;1;1;0;EM;20.11.2025;01.01.2050;Stredni
0286122;0;0;1;EM;20.11.2025;01.01.2050;Stredni
0286151;1;1;0;EM;03.07.2024;03.07.2034;Stredni
0286155;1;1;0;EM;03.07.2024;03.07.2034;Stredni
0286157;1;1;0;EM;03.07.2024;03.07.2034;Stredni
0286210;0;0;1;EM;12.01.2026;01.01.2050;Stredni
0286296;0;0;1;EM;03.09.2025;01.01.2050;Stredni
0286312;0;0;1;EM;04.08.2025;01.01.2050;Stredni
0286327;1;1;0;EM;20.11.2025;01.01.2050;Stredni
0289292;0;0;1;EM;29.03.2021;29.03.2031;Stredni
0289296;0;0;1;EM;29.03.2021;29.03.2031;Stredni
0290116;1;1;0;DHPC;16.02.2026;16.08.2026;Vysoka
0290117;1;1;0;DHPC;16.02.2026;16.08.2026;Vysoka
0500552;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0500577;1;1;0;EM;25.02.2019;25.02.2029;Stredni
0500578;1;1;0;EM;25.02.2019;25.02.2029;Stredni
0500583;1;1;0;EM;25.02.2019;25.02.2029;Stredni
0500583;0;0;1;EM;25.02.2019;25.02.2029;Stredni
0500786;1;1;0;EM;28.11.2025;01.01.2050;Stredni
0500793;1;1;0;EM;31.01.2024;31.01.2034;Stredni
0500872;1;1;0;EM;16.06.2025;01.01.2050;Stredni
0024393;1;1;0;EM;06.06.2024;06.06.2034;Stredni
0024403;0;0;1;EM;06.06.2024;06.06.2034;Stredni
0024404;1;1;0;EM;06.06.2024;06.06.2034;Stredni
0120531;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0120532;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0120533;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0120536;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0120540;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0120541;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0120543;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0029325;1;1;0;EM;16.02.2024;16.02.2034;Stredni
0029328;1;1;0;EM;16.02.2024;16.02.2034;Stredni
0029394;1;1;0;EM;31.05.2023;31.05.2033;Stredni
0029395;0;0;1;EM;31.05.2023;31.05.2033;Stredni
0029408;1;0;0;OP;01.07.2024;31.12.2050;Stredni
0029409;1;1;0;EM;31.05.2023;31.05.2033;Stredni
0029411;1;1;0;EM;31.05.2023;31.05.2033;Stredni
0029424;1;1;0;EM;31.01.2022;31.01.2032;Stredni
0029425;0;0;1;EM;31.01.2022;31.01.2032;Stredni
0067236;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0068673;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0070425;1;1;0;EM;15.02.2024;01.01.2050;Stredni
0072588;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0072830;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0072836;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0075561;1;1;0;EM;31.05.2017;31.05.2027;Stredni
0024406;1;1;0;EM;06.06.2024;06.06.2034;Stredni
0024408;1;1;0;EM;06.06.2024;06.06.2034;Stredni
0024414;1;1;0;EM;06.06.2024;06.06.2034;Stredni
0024415;1;1;0;EM;06.06.2024;06.06.2034;Stredni
0024417;0;0;1;EM;06.06.2024;06.06.2034;Stredni
0120551;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0120555;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0029716;0;0;1;EM;02.11.2018;02.11.2028;Stredni
0029717;0;0;1;EM;02.11.2018;02.11.2028;Stredni
0030021;1;1;0;DI;10.09.2024;10.09.2026;Stredni
0031055;1;1;0;DHPC;12.09.2025;12.03.2026;Vysoka
0075806;0;0;1;EM;31.05.2017;31.05.2027;Stredni
0075821;1;1;0;EM;31.05.2017;31.05.2027;Stredni
0075888;1;1;0;EM;31.05.2017;31.05.2027;Stredni
0075954;0;0;1;EM;31.05.2017;31.05.2027;Stredni
0075955;0;0;1;EM;31.05.2017;31.05.2027;Stredni
0076097;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0077929;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0080202;0;0;1;EM;06.06.2024;06.06.2034;Stredni
0097520;1;1;0;DI;04.09.2025;04.03.2026;Stredni
0099108;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0099600;1;1;1;DI;18.03.2024;18.03.2026;Stredni
0122861;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0040425;0;0;1;EM;25.09.2025;01.01.2050;Stredni
0084245;1;1;0;DI;10.09.2024;10.09.2026;Stredni
0085091;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0100094;1;1;1;DI;18.03.2024;18.03.2026;Stredni
0100095;1;1;1;DI;18.03.2024;18.03.2026;Stredni
0100140;1;1;1;DI;18.03.2024;18.03.2026;Stredni
0100974;1;1;0;EM;02.11.2018;02.11.2028;Stredni
0101882;1;1;0;EM;06.06.2024;06.06.2034;Stredni
0101883;1;1;0;EM;06.06.2024;06.06.2034;Stredni
0127172;1;1;0;DHPC;12.09.2025;12.03.2026;Vysoka
0128236;1;0;0;OP;01.07.2024;31.12.2050;Stredni
0128530;1;1;0;EM;04.07.2017;04.07.2027;Stredni
0042047;1;1;0;DI;09.07.2024;09.07.2026;Stredni
0042327;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0086781;1;1;1;DI;29.09.2025;29.09.2027;Stredni
0087122;1;1;1;DI;18.03.2024;18.03.2026;Stredni
0087123;1;1;1;DI;18.03.2024;18.03.2026;Stredni
0087739;1;1;0;EM;25.09.2025;01.01.2050;Stredni
0088025;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0088036;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0088057;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0088071;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0088098;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0101892;1;1;0;EM;06.06.2024;06.06.2034;Stredni
0129213;1;1;0;DHPC;12.09.2025;12.03.2026;Vysoka
0129658;1;1;0;EM;05.10.2023;05.10.2033;Stredni
0129662;1;1;0;EM;05.10.2023;05.10.2033;Stredni
0129845;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0129930;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0131002;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0131003;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0042330;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0042331;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0042339;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0042340;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0042340;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0042363;1;1;1;DI;18.03.2024;18.03.2026;Stredni
0088189;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0088277;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0088314;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0088567;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0101897;0;0;1;EM;06.06.2024;06.06.2034;Stredni
0101899;1;1;0;EM;06.06.2024;06.06.2034;Stredni
0101900;0;0;1;EM;06.06.2024;06.06.2034;Stredni
0131005;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0132520;0;0;1;EM;06.06.2024;06.06.2034;Stredni
0042822;1;1;0;DHPC;08.09.2025;08.03.2026;Vysoka
0042823;1;1;0;DHPC;08.09.2025;08.03.2026;Vysoka
0042829;1;1;0;DHPC;08.09.2025;08.03.2026;Vysoka
0044575;1;1;0;DI;04.09.2025;04.03.2026;Stredni
0090798;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0091304;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0091420;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0091438;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0091440;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0091824;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0102987;1;0;0;OP;01.07.2024;31.12.2050;Stredni
0103784;1;1;0;EM;13.05.2019;13.05.2029;Stredni
0104315;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0104319;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0104320;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0104329;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0104329;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0104330;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0132569;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0132590;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0132595;1;1;0;EM;22.05.2024;22.05.2034;Stredni
0132596;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0044675;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0044678;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0045541;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0045566;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0092034;0;0;1;EM;06.06.2024;06.06.2034;Stredni
0092587;0;0;1;EM;06.06.2024;06.06.2034;Stredni
0094094;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0094095;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0094147;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0094154;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0095225;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0104333;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0104339;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0104339;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0104346;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0104346;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0104347;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0104351;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0132745;0;0;1;EM;25.09.2025;01.01.2050;Stredni
0132746;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0132767;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0132791;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0132793;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0132812;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0132815;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0132839;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0045576;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0045930;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0046966;1;0;0;OP;01.07.2024;31.12.2050;Stredni
0047063;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0047090;0;0;1;EM;25.09.2025;01.01.2050;Stredni
0002840;0;0;1;EM;06.01.2025;06.01.2035;Stredni
0104353;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0104354;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0104365;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0106078;1;1;0;DHPC;12.09.2025;12.03.2026;Vysoka
0106083;1;1;0;DHPC;12.09.2025;12.03.2026;Vysoka
0024423;0;0;1;EM;06.06.2024;06.06.2034;Stredni
0024434;1;1;0;EM;06.06.2024;06.06.2034;Stredni
0024434;0;0;1;EM;06.06.2024;06.06.2034;Stredni
0024435;1;1;0;EM;06.06.2024;06.06.2034;Stredni
0024435;0;0;1;EM;06.06.2024;06.06.2034;Stredni
0047195;1;1;0;DI;04.09.2025;04.03.2026;Stredni
0048464;1;1;1;DI;16.12.2024;16.12.2026;Stredni
0004420;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0008768;0;0;1;EM;06.06.2024;06.06.2034;Stredni
0008848;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0010283;1;1;0;DI;09.07.2024;09.07.2026;Stredni
0106089;1;1;0;DHPC;12.09.2025;12.03.2026;Vysoka
0107462;1;1;0;DHPC;08.09.2025;08.03.2026;Vysoka
0107465;1;1;0;DHPC;08.09.2025;08.03.2026;Vysoka
0024442;1;1;0;EM;06.06.2024;06.06.2034;Stredni
0024443;0;0;1;EM;06.06.2024;06.06.2034;Stredni
0024448;0;0;1;EM;06.06.2024;06.06.2034;Stredni
0049928;1;1;0;DHPC;12.09.2025;12.03.2026;Vysoka
0049929;1;1;0;DHPC;12.09.2025;12.03.2026;Vysoka
0050697;1;1;0;EM;01.09.2021;01.09.2031;Stredni
0050698;1;1;0;EM;01.09.2021;01.09.2031;Stredni
0050699;1;1;0;EM;01.09.2021;01.09.2031;Stredni
0050700;1;1;0;EM;01.09.2021;01.09.2031;Stredni
0050702;0;0;1;EM;21.08.2024;21.08.2034;Stredni
0050703;0;0;1;EM;21.08.2024;21.08.2034;Stredni
0010475;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0010543;1;1;1;DI;18.03.2024;18.03.2026;Stredni
0010799;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0011182;1;1;1;DI;18.03.2024;18.03.2026;Stredni
0011623;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0011728;0;0;1;EM;08.06.2017;08.06.2027;Stredni
0012172;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0107932;1;1;1;DI;18.03.2024;18.03.2026;Stredni
0107943;1;1;1;DI;14.10.2024;14.04.2026;Stredni
0111941;1;1;0;DHPC;12.09.2025;12.03.2026;Vysoka
0111946;1;1;0;DHPC;12.09.2025;12.03.2026;Vysoka
0024453;0;0;1;EM;06.06.2024;06.06.2034;Stredni
0025488;1;1;0;EM;01.12.2021;01.01.2050;Stredni
0050704;1;1;0;EM;01.09.2021;01.09.2031;Stredni
0050982;1;1;0;DHPC;12.09.2025;12.03.2026;Vysoka
0053343;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0053502;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0053757;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0055869;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0013771;1;1;1;DI;18.03.2024;18.03.2026;Stredni
0014429;1;1;1;DI;18.03.2024;18.03.2026;Stredni
0015252;1;1;0;EM;26.03.2024;26.03.2034;Stredni
0015390;1;1;1;DI;18.03.2024;18.03.2026;Stredni
0015537;1;1;1;DI;18.03.2024;18.03.2026;Stredni
0015611;1;1;1;DI;18.03.2024;18.03.2026;Stredni
0015613;1;1;1;DI;18.03.2024;18.03.2026;Stredni
0015834;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0015835;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0113409;0;0;1;EM;30.01.2026;01.01.2050;Stredni
0113413;0;0;1;EM;30.01.2026;01.01.2050;Stredni
0113414;1;1;0;EM;30.01.2026;01.01.2050;Stredni
0025564;1;1;0;EM;20.04.2020;20.04.2030;Stredni
0026097;1;1;0;EM;02.05.2024;02.05.2034;Stredni
0026245;0;0;1;EM;08.09.2016;08.09.2026;Stredni
0026246;1;1;0;EM;08.09.2016;08.09.2026;Stredni
0026253;1;1;0;EM;13.05.2019;13.05.2029;Stredni
0055871;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0056304;1;1;0;EM;08.12.2022;08.12.2032;Stredni
0056304;0;0;1;EM;08.12.2022;08.12.2032;Stredni
0015842;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0015842;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0015844;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0015844;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0015848;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0015849;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0015849;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0015850;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0015853;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0015857;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0114356;1;0;0;OP;01.07.2024;31.12.2050;Stredni
0026256;1;1;0;EM;13.05.2019;13.05.2029;Stredni
0026526;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0026527;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0026544;0;0;1;EM;10.09.2021;01.01.2050;Stredni
0026878;0;0;1;EM;07.12.2023;07.12.2033;Stredni
0026885;0;0;1;EM;07.12.2023;07.12.2033;Stredni
0026886;0;0;1;EM;07.12.2023;07.12.2033;Stredni
0057339;1;1;1;DI;29.12.2025;29.12.2027;Stredni
0057716;1;1;0;EM;06.06.2024;06.06.2034;Stredni
0017242;1;1;0;EM;15.01.2024;15.01.2034;Stredni
0017243;1;1;0;EM;15.01.2024;15.01.2034;Stredni
0017455;1;1;0;EM;31.05.2017;31.05.2027;Stredni
0017964;1;1;1;DI;05.05.2025;05.05.2027;Stredni
0115715;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0115716;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0117855;1;1;0;DHPC;12.09.2025;12.03.2026;Vysoka
0026891;0;0;1;EM;07.12.2023;07.12.2033;Stredni
0027284;0;0;1;EM;29.03.2022;29.03.2032;Stredni
0027440;0;0;1;EM;02.11.2018;02.11.2028;Stredni
0027451;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0058072;1;1;0;DHPC;08.09.2025;08.03.2026;Vysoka
0058082;1;1;0;DHPC;08.09.2025;08.03.2026;Vysoka
0058084;1;1;0;DHPC;08.09.2025;08.03.2026;Vysoka
0018696;1;1;0;EM;02.11.2018;02.11.2028;Stredni
0018697;1;1;0;EM;02.11.2018;02.11.2028;Stredni
0018698;1;1;0;EM;02.11.2018;02.11.2028;Stredni
0018961;0;0;1;EM;02.11.2018;02.11.2028;Stredni
0020613;0;0;1;EM;02.12.2019;02.12.2029;Stredni
0020615;0;0;1;EM;02.12.2019;02.12.2029;Stredni
0020619;0;0;1;EM;02.12.2019;02.12.2029;Stredni
0020912;1;1;0;DI;16.02.2026;16.02.2028;Stredni
0117865;1;1;0;DHPC;12.09.2025;12.03.2026;Vysoka
0118789;1;1;0;EM;05.10.2023;05.10.2033;Stredni
0120504;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0120505;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0027616;1;0;0;OP;01.07.2024;31.12.2050;Stredni
0027804;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0027905;0;0;1;EM;31.10.2025;01.01.2050;Stredni
0027906;1;1;0;EM;31.10.2025;01.01.2050;Stredni
0027920;1;1;0;EM;20.04.2020;20.04.2030;Stredni
0059696;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0065988;1;1;0;DHPC;12.09.2025;12.03.2026;Vysoka
0022867;1;1;0;EM;20.12.2023;20.12.2033;Stredni
