NAZEV;NAZEV_OBCE;NAZEV_ULICE;CISLO_POPISNE;CISLO_ORIENTACNI;IC;PRAVNICKA_OSOBA;TITUL;JMENO;PRIJMENI;TELEFON;EMAIL
ICG Farma, s.r.o.;Øíèany;Modletice ;139;;17594332;1;;Pavel;Horký;;
Invest Engine s.r.o.;Praha 10;Petrovická;155;9;03799069;1;Ing.;Ivan;Vinš;736 755 167;ivan.vins@investengine.cz
Largedistri s.r.o.;Opava;Jaselská;2942;31;11687622;1;;Dawid Ryszard ;Suski;;
Irina Elistratova;Ústí nad Labem;Masarykova;1648;59;69296821;0;;Irina;Elistratova;+420 776 829 069;etnomagic@seznam.cz
Neolek s.r.o.;Praha 1;Národní;58;32;21180547;1;;Nauryz;Aitbayev;+420 602 300 501;neolek@proton.me
Hu - Fa Dental a.s.;Otrokovice;Moravní;;909;26977851;1;Ing.;Pavel;Veit;576 771 401;veit@hufa.cz
APRICITY NOVA s.r.o.;Praha 1;Poøíèí;1041;12;21384606;1;;Amir;Gaèanoviè;;
LUNA ateliér s.r.o.;Praha 4;Magistrù;1275;13;26124742;1;;Martin;Plandor;;
Largedistri s.r.o.;Ostrava;Èeskobratrská;3297;1;11687622;1;;Dawid Ryszard ;Suski;+48 533 970 911;d.suski@largedistri-sro.com
Družstvo lékáren;Jihlava;Srázná;5883;23;25975188;1;Mgr.;Irena;Beránková;596 110 351;info@dlekaren.cz
Eurolek & Equipments CZ s.r.o.;Praha 3;Vlkova;532;8;07420919;1;;Yanina;Kazhdan;777 296 157;rtt11@email.cz
Pharma&Medical Supply s.r.o.;Praha 2;Varšavská;715;36;21617830;1;;Vojtìch;Kantor;+420 777 245 864;pharmamedicalsupply@gmail.com
Sanovia, a.s.;Ostrava;Tìšínská;1349;296;28570481;1;Mgr.;Martina ;Obrtelová;597 575 211;
Czechiapharm Group, s.r.o.;Ostrava;Mièurinova;808;13;29310008;1;PharmDr.;Ivan;Šácha;602 584 210;sacha@czechiapharm.cz
Marcin Tadeusz Pilarski;Èeský Tìšín;Hlavní tøída;87;2;09027777;0;;Marcin Tadeusz;Pilarski;+48 692 829 052;mpilarski@o2.pl
MEDONET Pharma s.r.o.;Praha 1;Klimentská;1216;46;27737004;1;MVDr.;Josef;Vašíèek, MBA;602 225 498;josef.vasicek@medonet.cz
4 LIFE PHARMA CZ, s.r.o.;Praha 4;Ve studeném;1743;8a;28959094;1;MUDr.;Vít;Koudelka;734 312 002;m.vonkova@4lifepharma.eu
PHARMOS, a.s.;Ostrava;Tìšínsá ;1349;296;19010290;1;PharmDr.;Jiøí;Sova;;
Burestone, s.r.o.;Praha 2;Vyšehradská;1349;2;46972447;1;;Jan;Bureš;+420 602 969 218;bure@burestone.com
Georgi Ivanov Stoychev;Praha;Bratøí Synkù;5;1;01708155;0;;Georgi Ivanov;Stoychev;775 678 597;gstoychev46@gmail.com
Pharma&Medical Supply s.r.o.;Praha 4;Na Pankráci;1618;30;21617830;1;;Vojtìch;Kantor;+420 777 245 864;pharmamedicalsupply@gmail.com
EWOPHARMA, spol. s r.o.;Praha 10;Sodomkova;1474;6;49354957;1;;Jan;Krejèí;261 311 613;info@ewopharma.cz
1. Specialisté s.r.o.;Praha 6;Køenova;438;7;27466264;1;Mgr.;Jan;Egrt;775 377 578;jan.egrt@1specialiste.com
ICG Farma, s.r.o.;Praha 1;Školská;689;20;17594332;1;;Pavel;Horký;733 211 609;icginfo@icgfarma.cz
MFV Medical s.r.o.;Praha 5;Stroupežnického;529;6;06927661;1;;Vojtìch;Kantor;739 558 822;mfvmedical@seznam.cz
